=  Rosenborg - Norwegian Eliteserien 2020

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, André Hansen, NOR, G, 1.94, 93, 17-12-89, Oslo, Odd
2, Vegar Eggen Hedenstad, NOR, D, 1.75, 72, 26-06-91, Elverum, St Pauli
4, Tore Reginiussen, NOR, D, 1.85, 80, 10-06-86, Tromsø, Odense
5, Per Ciljan Skjelbreid, NOR, M, 1.75, 62, 16-06-87, Trondheim, Hertha Berlin
7, Markus Henriksen, NOR, M, 1.87, 85, 25-07-92, Trondheim, Hull C
8, Anders Konradsen, NOR, M, 1.85, 79, 18-07-90, Bodø, Rennes
9, Dino Islamović, SWE, F, 1.89, 87, 17-01-94, Hudiksvall, Östersunds FK
10, Pål André Helland, NOR, F, 1.87, 82, 04-01-90, Orkanger, Hødd
11, Carlo Holse, DEN, F, 1.75, 68, 02-06-99, Copenhagen, FC København
13, Julian Faye Lund, NOR, G, 1.85, 80, 20-05-99, Oslo, Oppsal
14, Rasmus Wiedesheim-Paul, SWE, F, 1.87, 68, 08-02-99, Halmstad, Halmstads BK
15, Hólmar Eyjólfsson, ISL, D, 1.88, 80, 06-08-90, Kópavogur, Levski Sofia
16, Even Hovland, NOR, D, 1.90, 85, 14-02-89, Vadheim, Songdal
18, Kristoffer Zachariassen, NOR, M, 1.80, 74, 27-10-94, Sotra, Sarpsborg 08
20, Edvard Tagseth, NOR, M, 1.71, 65, 23-01-01, Levanger, Liverpool
21, Erlend Reitan, NOR, D, 1.80, 70, 11-09-97, Trondheim, None
22, Gjermund Åsen, NOR, M, 1.82, 71, 22-05-91, Trondheim, Tromsø
25, Pa Konate, SWE, D, 1.78, 70, 25-04-94, Malmö, Jönköpings Södra IF
26, Warren Kamanzi, NOR, D, 1.70, 60, 11-11-00, Trondheim, None
28, Samuel Adegbenro, NGA, F, 1.76, 75, 03-12-95, Osogbo, Viking
35, Emil Konradsen Ceide, NOR, F, 1.75, 71, 03-09-01, Finnsnes, Finnsnes

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
3, Birger Meling, NOR, D, 1.72, 65, 17-12-94, Stavanger, Nîmes
34, Erik Botheim, NOR, F, 1.80, 70, 10-01-00, Oslo, Stabæk (On Loan)
25, Marius Lundemo, NOR, M, 1.88, 79, 11-04-94, Bærum, APOEL
15, Anders Trondsen, NOR, M, 1.83, 78, 30-03-95, Lillehammer, Trabzonspor
37, Mikael Tørset Johnsen, NOR, M, 1.75, 65, 04-07-00, Skien, Feyenoord (On Loan)
19, Gustav Valsvik, NOR, D, 1.95, 94, 26-05-93, Vik, Stabæk (On Loan)
