=  Vålerenga - Norwegian Eliteserien 2021

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Kjetil Haug, NOR, G, 1.90, 80, 12-06-98, Halden, Sogndal
2, Christian Borchgrevink, NOR, D, 1.82, 72, 11-05-99, Oslo, None
3, Brage Skaret, NOR, D, 1.86, 78, 28-04-02, Skedsmokorset, Skedsmo
4, Jonatan Tollås, NOR, D, 1.88, 80, 01-07-90, Ålesund, Aalesund
5, Leonard Zuta, SWE, D, 1.80, 70, 09-08-92, Gothenburg, Lecce
6, Nikolaj Thomsen, DEN, M, 1.80, 75, 08-05-93, Skagen, FC København
7, Fredrik Oldrup Jensen, NOR, M, 1.85, 73, 18-05-93, Skien, Zulte-Waregem
8, Henrik Bjørdal, NOR, M, 1.75, 80, 04-02-97, Ålesund, Zulte-Waregem
9, Viðar Örn Kjartansson, ISL, F, 1.74, 68, 11-03-90, Selfoss, FC Rostov
10, Albin Mörfelt, SWE, M, 1.74, 60, 10-01-00, Stockholm, Varbergs BoIS
11, Amor Layouni, TUN, F, 1.91, 80, 03-10-92, Falun, Pyramids FC
14, Henrik Udahl, NOR, F, 1.85, 78, 12-01-97, Eidsberg, Åsane
15, Odin Thiago Holm, NOR, M, 1.75, 63, 18-01-03, Trondheim, Ranheim
16, Mathias Johnsrud Emilsen, NOR, M, 1.86, 78, 08-06-03, Oslo, None
17, Tobias Christensen, NOR, M, 1.78, 73, 11-05-00, Kristiansand, Molde
18, Fredrik Holmé, NOR, D, 1.90, 83, 23-07-01, Oslo, Skeid
19, Seedy Jatta, NOR, F, 1.80, 75, 18-03-03, -, Skeid
20, Magnus Bech Riisnæs, NOR, M, 1.82, 73, 04-11-04, Lørenskog, None
21, Mathias Dyngeland, NOR, G, 1.84, 76, 07-10-95, Fana, IF Elfsborg
22, Ivan Näsberg, NOR, D, 1.86, 80, 22-04-96, Oslo, None
26, Osame Sahraoui, NOR, M, 1.64, 53, 11-06-01, Oslo, None
27, Jacob Eng, NOR, F, 1.80, 76, 14-09-04, -, Lyn
29, Oskar Aron Opsahl, NOR, D, 1.78, 64, 25-08-01, Oslo, Stabæk
38, Magnus Smelhus Sjøeng, NOR, G, 1.96, 77, 23-03-02, -, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
33, Amin Nouri, NOR, D, 1.80, 74, 10-01-90, Oslo, Sogndal
6, Sakarias Opsahl, NOR, M, 1.87, 67, 17-07-99, Oslo, Tromsø
23, Felix Horn Myhre, NOR, M, 1.80, 75, 04-03-99, Oslo, Brann
10, Aron Dønnum, NOR, M, 1.79, 73, 20-04-98, Eidsvoll, Standard Liège
13, Kristoffer Klaesson, NOR, G, 1.89, 76, 27-11-00, Oslo, Leeds U
25, Sam Adekugbe, CAN, D, 1.75, 75, 16-01-95, London, Hatayspor
