=  Cracovia Kraków - Polish Ekstraklasa 2023/2024

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
2, Cornel Râpă, ROU, D, 1.80, 72, 16-01-90, Galaţi, Pogoń Szczecin
3, Andreas Skovgaard, DEN, D, 1.84, 75, 27-03-97, Hagendrup, Stabæk
4, Paweł Jaroszyński, POL, D, 1.84, 78, 02-10-94, Lublin, Salernitana
5, Virgil Ghiță, ROU, D, 1.86, 80, 04-06-98, Piteşti, Farul Constanța
6, Jani Atanasov, MKD, M, 1.87, 84, 31-10-99, Strumica, Hajduk Split
7, Patryk Makuch, POL, F, 1.87, 84, 11-04-99, Łódź, Miedź Legnica
8, Mathias Hebo Rasmussen, DEN, M, 1.90, 84, 02-08-95, Hvidovre, Lyngby
9, Benjamin Källman, FIN, F, 1.81, 87, 17-06-98, Ekenäs, Inter Turku
10, Michał Rakoczy, POL, M, 1.71, 64, 30-03-02, Jasło, None
11, Mikkel Maigaard, DEN, M, 1.80, 70, 20-09-95, Varde, Sarpsborg 08
13, Sebastian Madejski, POL, G, 1.84, 71, 02-01-97, Bielsko-Biała, Motor Lublin
15, Kamil Glik, POL, D, 1.90, 80, 03-02-88, Jastrzębie Zdrój, Benevento
17, Mateusz Bochnak, POL, M, 1.79, 65, 11-02-98, Szczecin, Chrobry Głogów
18, Takuto Oshima, JPN, M, 1.74, 71, 01-06-98, Hirakata, MFK Zemplín Michalovce
19, Davíð Kristján Ólafsson, ISL, D, 1.88, 81, 15-05-95, Kópavogur, Kalmar FF
20, Karol Knap, POL, M, 1.80, 71, 12-09-01, Krosno, Puszcza Niepołomice
21, Kacper Śmiglewski, POL, F, -, -, 07-01-05, -, Polonia Warszawa
22, Arttu Hoskonen, FIN, D, 1.88, 90, 16-04-97, Kaarina, HJK Helsinki
23, Fabian Bzdyl, POL, M, 1.80, 70, 02-12-07, Kraków, None
24, Jakub Jugas, CZE, D, 1.86, 79, 05-05-92, Mladá Boleslav, Slavia Prague
25, Otar Kakabadze, GEO, D, 1.85, 76, 27-06-95, Tbilisi, Tenerife
30, Adam Wilk, POL, G, 1.96, 87, 21-11-97, Kraków, None
31, Lukáš Hroššo, SVK, G, 1.95, 90, 19-04-87, Nitra, Zagłębie Sosnowiec
33, Eneo Bitri, ALB, D, 1.92, 86, 26-08-96, Berat, Vålerenga
63, Filip Rózga, POL, M, -, -, 07-08-06, Skawina, None
72, Bartłomiej Kolec, POL, M, -, -, 02-03-04, -, Zagłębie Lubin
85, David Jablonský, CZE, D, 1.90, 85, 08-10-91, Sokolov, Levski Sofia
88, Patryk Sokołowski, POL, M, 1.81, 73, 25-09-94, Warsaw, Legia Warszawa
99, Szymon Doba, POL, F, 1.93, 79, 10-08-05, Lębork, Olimpia Grudziądz

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
45, Filip Balaj, SVK, F, 1.92, 81, 02-08-97, Zlaté Moravce, Zlaté Moravce (On Loan)
44, Damian Urban, POL, D, 1.80, 75, 08-04-02, Kraków, Stal Stalowa Wola (On Loan)
38, Jakub Myszor, POL, M, 1.75, 66, 07-06-02, Tychy, Raków Częstochowa
14, Sylwester Lusiusz, POL, M, 1.80, 69, 18-09-99, Brzozów, Podbeskidzie Bielsko-Biała
73, Patryk Zaucha, POL, D, 1.75, 67, 19-04-00, Tarnów, Stal Stalowa Wola
36, Kacper Jodłowski, POL, M, 1.87, 80, 30-05-99, Kraków, Siarka Tarnobrzeg
55, Michał Stachera, POL, D, 1.75, 71, 18-01-01, Oświęcim, Wiślanie Jaśkowice
66, Oskar Wójcik, POL, D, -, -, 21-07-03, -, GKS Bełchatów (On Loan)
87, Oliwier Hyla, POL, D, 1.84, 68, 24-08-04, Kraków, Unia Tarnów (On Loan)
19, Kamil Ogorzały, POL, M, 1.78, 70, 05-09-00, Nowy Sącz, Podhale Nowy Targ (On Loan)
