=  Zaglebie Lubin - Polish Ekstraklasa 2023/2024

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Jasmin Burić, BIH, G, 1.91, 80, 18-02-87, Zenica, Hapoel Haifa
2, Bartosz Kopacz, POL, D, 1.88, 80, 21-05-92, Jastrzębie Zdrój, Lechia Gdańsk
5, Aleks Ławniczak, POL, D, 1.89, 87, 05-05-99, Poznań, Warta Poznań
6, Tomasz Makowski, POL, M, 1.78, 72, 19-07-99, Zgierz, Lechia Gdańsk
7, Kacper Chodyna, POL, M, 1.76, 68, 24-05-99, Drawsko Pomorskie, Lech Poznań
8, Damian Dąbrowski, POL, M, 1.69, 68, 27-08-92, Kamienna Góra, Pogoń Szczecin
11, Arkadiusz Woźniak, POL, M, 1.84, 68, 01-06-90, Lubin, GKS Katowice
13, Mateusz Grzybek, POL, D, 1.78, 68, 30-03-96, Tychy, Radomiak Radom
16, Serhiy Buletsa, UKR, M, 1.72, 72, 16-02-99, Uzhhorod, Dynamo Kyiv-2
17, Marek Mróz, POL, M, 1.79, 74, 18-02-99, Nowy Sącz, Resovia Rzeszów
18, Juan Muñoz, ESP, F, 1.82, 80, 12-11-95, Utrera, Leganés
19, Rafał Adamski, POL, F, 1.90, 75, 21-11-01, Dzierżoniów, Miedź Legnica
20, Marko Poletanović, SRB, M, 1.84, 72, 20-07-93, Novi Sad, Wisła Kraków
21, Tomasz Pieńko, POL, M, 1.85, 76, 05-01-04, Wrocław, None
22, Szymon Weirauch, POL, G, 1.90, 76, 05-03-04, Wałbrzych, None
23, Patryk Kusztal, POL, M, 1.76, 71, 28-03-03, Legnica, None
25, Michał Nalepa, POL, D, 1.90, 81, 22-01-93, Chrzanów, Lechia Gdańsk
27, Bartłomiej Kłudka, POL, D, 1.86, 72, 14-05-02, Lubin, None
30, Kacper Terlecki, POL, M, 1.83, 72, 31-07-05, -, None
31, Igor Orlikowski, POL, D, -, -, 09-02-06, Krotoszyn, None
34, Michał Matys, POL, G, -, -, 06-05-06, Jelenia Góra, None
35, Filip Kocaba, POL, M, -, -, 13-11-04, -, None
38, Szymon Karasiński, POL, D, 1.82, 75, 25-03-04, -, None
39, Damjan Bohar, SVN, M, 1.72, 69, 18-10-91, Murska Sobota, Osijek
55, Luís Mata, POR, D, 1.80, 70, 06-07-97, Porto, Pogoń Szczecin
77, Mateusz Wdowiak, POL, M, 1.74, 62, 28-08-96, Kraków, Raków Częstochowa
87, Sokratis Dioudis, GRE, G, 1.82, 75, 03-02-93, Thessaloniki, Panathinaikos
90, Dawid Kurminowski, POL, F, 1.82, 73, 24-02-99, Śrem, Aarhus
99, Cyprian Popielec, POL, M, -, -, 07-03-07, -, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
74, Kamil Kruk, POL, D, 1.85, 79, 13-03-00, Drezdenko, Motor Lublin
9, Tornike Gaprindashvili, GEO, M, 1.71, 64, 20-07-97, Tbilisi, Arka Gdynia
33, Jarosław Jach, POL, D, 1.90, 81, 17-02-94, Bielawa, Wisła Płock (On Loan)
3, Mikkel Kirkeskov, DEN, D, 1.85, 80, 05-09-91, Aarhus, Holstein Kiel
