=  Marítimo - Portuguese Superliga 2001/02

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Nélson, G, 5'10'', 12 04, 13-12-67, Nova Lisboa, Rio Ave
2, Albertino, D, 5'09'', 10 12, 05-11-71, Oporto, Salgueiros
3, Ezequias, D, 5'11'', 10 12, 28-01-81, Junidia, Corinthians
4, Paulo Sérgio, D, 5'11", 11 11, 02-12-72, Ubiratã, Coritiba
5, Jorge Soares, D, 6'02", 13 03, 22-10-71, Messejana, Benfica
6, Fábio, M, 5'07'', 10 03, 14-06-80, Assunção, Rio Ave
7, Zeca, M, 5'09'', 11 11, 07-02-75, Funchal, None
8, Dinda, M, 5'08", 11 11, 18-08-72, Sergipe, União Leiria
10, Bruno, M, 5'09", 10 10, 30-06-74, Funchal, Machico
11, Ilian Iliev, M, 5'08", 11 07, 02-07-68, Varna, Levski Sofia
13, Gaúcho, F, 5'11'', 11 09, 22-09-72, Recife, Estrela da Amadora
14, Abdelsatar Sabry, F, 5'10", 10 03, 19-06-74, Cairo, Benfica
15, Fernando Ornelas, M, 6'01", 11 11, 29-07-76, Caracas, 
17, Eusébio, D, 6'02'', 12 13, 31-10-73, Funchal, Sporting Espinho
18, Luís Olim, M, 5'06'', 12 04, 27-08-81, Funchal, None
20, Quim, F, 6'05", 13 01, 16-05-74, Baltar, Dundee U
21, Briguel, D, 5'09'', 11 00, 08-03-79, Funchal, None
22, Kenedy, M, 6'00'', 13 01, 18-02-74, Guinea, Estrela da Amadora
23, Lino, D, 5'07", 11 00, 21-11-76, Bissau, Varzim
24, Gilmar, G, 6'04", 14 09, 01-09-69, Quilombo, Caxias do Sul
25, Mitchell van der Gaag, D, 6'01'', 13 10, 22-10-71, Zutphen, Utrecht
26, Ruben Ferrer, F, 5'10", 12 11, 31-01-75, , Los Andes
27, Alan, F, 5'11'', 11 00, 19-09-79, Rio de Janeiro, Ipatinga
28, Javier Musa, D, 6'05", 13 03, 15-01-79, , Racing Club
29, Heber Arriola, F, 6'02", 13 05, 14-08-80, , Deportivo Español
30, Joel Santos, M, 5'07'', 10 12, 09-03-75, Funchal, Camara de Lobos
31, Ronaldo Maczinski, F, 5'08'', 11 00, 11-09-80, Santa Catarina, None
33, Fernando Silva, D, 5'09'', 11 00, 03-10-80, Funchal, None
35, Danny, M, 5'09", 09 11, 07-08-83, Caracas, None
38, Rui César, M, , , 04-11-77, , 
40, Richardson, M, 5'09", 10 10, 30-01-76, , Mogi Mirim
48, Pepe, D, 6'01'', 11 05, 26-02-83, Maceió, Corinthians
54, Bruno Freitas, G, 5'09'', 10 08, 29-09-81, Funchal, None

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
9, Marius Sumudica, F, 5'10", 11 07, 04-03-71, Bucharest, Rapid Bucharest
9, André, F, 5'11", 12 13, 04-01-78, Patrocínio, Corinthians
