=  Académica - Portuguese Superliga 2002/03

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Márcio Santos, G, 5'11'', 12 13, 05-05-79, Lisbon, Felgueiras
2, Tó Sá, D, , , 09-09-68, Lisbon, Vitória Setúbal
3, Manuel José, F, 5'09", 11 11, 04-02-81, Vila Nova de Gaia, FC Porto
4, Dino, D, 6'01", 11 11, 07-12-78, Lisbon, Maia
5, Vincent Dyduch, D, 5'10'', 11 11, 09-03-74, Bordeuax, Louhans-Cuiseaux
6, Pedro Hipólito, M, , , 16-09-78, São Cristovão, Torreense
7, Jorginho, F, 5'09", 10 10, 31-10-75, Setúbal, Campomaiorense
8, André, M, 5'09'', 11 05, 14-05-78, Luanda, Vitória Guimarães
9, Nuno Miranda, M, , , 27-11-78, Coimbra, União Coimbra
10, Dário, F, 5'11'', 12 01, 27-02-77, Maputo, None
11, Vital, D, , , 02-02-72, São Luiz do Maranhão, Náutico
13, Tonel, D, 6'01'', 12 01, 13-04-80, Lourosa, FC Porto
14, Raul Oliveira, D, 6'03'', 12 08, 26-08-72, Lisbon, Estrela da Amadora
15, Roberto, F, , , 29-07-78, Linhares, Moreirense
16, Marcelo, F, 6'01'', 13 05, 11-10-69, Nitéroi, Walsall
17, Rocha, M, , , 20-01-68, Coimbra, None
18, Fabien Valery, M, , , 09-06-74, Noify-Le-Sec, Naval
19, Paulo Adriano, M, 6'00'', 12 01, 03-03-77, Coimbra, Anadia
20, Damian Tixier, D, 6'01'', 10 06, 23-06-80, Nimes, Naval
21, Fredy, D, 5'09'', 10 10, 14-08-79, Estarreja, Felgueiras
22, João Nuno Lucas, M, 5'07", 11 07, 25-10-79, Caldas de Rainha, Pombal
23, Hilário, G, 6'02'', 13 05, 21-10-75, São Pedro da Cova, FC Porto
24, Pedro Roma, G, 6'01'', 13 01, 13-08-70, Pombal, Gil Vicente
25, Marcos António, D, 6'01'', 13 05, 25-05-83, Alagoinhas, FC Porto
26, Vítor Vieira, M, 6'00", 12 08, 21-03-73, Penafiel, Santa Clara
27, Nuno Luís, D, 5'09'', 11 09, 15-01-75, Vila Franca de Xira, Nacional
28, Binho, M, 6'01", 12 04, 24-06-77, Tuapo, Naval
29, João Campos, M, , , 15-01-75, Coimbra, Naval
30, Lucian Marinescu, M, 5'08'', 11 11, 25-06-72, Bucharest, Salamanca
57, Xano, F, 6'00'', 11 11, 24-04-83, Coimbra, None
66, Esquerdinha, D, 5'09", 12 01, 06-05-72, Caiçara, Zaragoza
77, Pedro Oliveira, F, 5'09", 12 04, 30-11-80, Oporto, FC Porto
