=  Estrela da Amadora - Portuguese Superliga 2007/08

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Nélson, G, 6'02'', 12 01, 20-10-75, Torres Vedras, Vitória Setúbal
2, Rui Duarte, D, 5'09", 11 09, 11-10-80, Lisbon, Estoril
5, Aliou N'Daye, F, 5'11'', 11 09, 28-01-80, Dakar, Douane
7, Pedro Pereira, M, 5'07", 11 03, 03-01-84, Braga, Sporting Braga
9, Anselmo, F, 6'00", 11 09, 06-01-84, Torres Vedras, Torreense
10, Mateus, M, 5'08", 11 03, 25-06-83, Ribeirão Preto, Grêmio Anápolis
12, Filipe Mendes, G, 6'03'', 12 04, 17-06-85, Lisbon, None
13, Nuno Viveiros, F, 5'07'', 10 08, 22-06-83, Machico, Xanthi
14, Marco Paulo, M, 5'10'', 11 07, 28-05-73, Lisbon, Estoril
15, Maurício Fernandes, D, 6'04'', 14 00, 05-07-76, Passo Fundo, Pohang Steelers
16, Fernando Reges, M, 6'01'', 11 00, 25-07-87, Brasília, FC Porto
17, Adul Baldé, D, , , 09-04-89, , None
19, Rui Pedro, F, 5'10", 11 07, 02-07-88, Lever, FC Porto
20, Hugo Carreira, D, 6'02'', 12 08, 10-03-79, Barreiro, Nacional
23, Mendonça, F, 5'08", 11 00, 09-10-82, Luanda, Belenenses
25, Pedro Alves, G, 6'02'', 12 11, 08-02-79, Lisbon, Belenenses
26, Celestino, M, 5'10", 11 09, 02-01-87, Tarrafal, Sporting CP
27, Edu Silva, D, 5'10", 11 07, 11-08-81, Entre Rios, Náutico
28, Marcelo Goianira, M, 5'08", 11 05, 06-08-80, Goianira, Grémio Anápolis
30, Tiago Gomes, M, 5'11'', 12 00, 18-08-85, Vila Franca de Xira, Odivelas
32, Vítor Borges Moreno, D, 5'11'', 13 08, 29-11-80, Lisbon, Vitória Guimarães
33, Elson, M, 5'11", 12 04, 07-10-83, Santos, São Caetano
34, Wagnão, D, 6'03", 13 05, 29-12-78, Marília, Rio Claro
55, Hélder Cabral, D, 5'10", 12 08, 07-05-84, Peniche, Vitória Guimarães
77, Giancarlo, F, 6'03", 13 05, 18-10-82, Aranranguá, Náutico

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
22, Pedro Simões, M, 6'00'', 12 06, 24-09-74, Amadora, Atlético CP
4, Carlos Cardoso, D, 6'03'', 13 05, 11-09-84, Santa Rosa Vitergo, Pandurii Târgu Jiu (On Loan)
8, Daniel Carlos Silva, M, 5'09", 10 10, 23-11-79, Feira de Santana, Pandurii Târgu Jiu (On Loan)
24, Yoni, F, 5'10", 11 11, 19-03-79, Gran Canaria, Pandurii Târgu Jiu (On Loan)
79, Moses Sakyi, F, 6'02", 12 04, 12-03-81, Accra, AEL Limassol
99, Mossoró, F, 5'11", 12 13, 24-06-85, Mossoró, Baraúnas
21, Luis Aguiar, M, 6'00", 12 11, 17-11-85, Mercedes, FC Porto
23, Marcelo, F, 5'10", 11 00, 14-04-87, Lisbon, Ol. Moscavide (On Loan)
