=  FC Rostov - Russian Football Premier League 2007

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Roman Gerus, G, 6'04", 13 08, 14-09-80, Krasnodar, Luch-Energia
2, Martin Horák, D, 6'02", 12 08, 16-09-80, Prague, Shinnik
3, Miloš Kruščič, D, 5'10", 11 05, 03-10-76, Subotica, Zemun
4, Anton Rogochiy, D, 6'02", 12 01, 23-01-82, Rostov, FC Rostov B
5, Milan Vještica, D, 6'02", 13 01, 15-11-79, Novi Sad, Zenit
6, Aleksandr Dantsev, M, 5'10", 10 12, 14-10-84, Rostov, FC Rostov B
8, Andrey Bochkov, M, 5'09", 11 03, 13-01-82, Volgograd, Uralan
9, Sergey Vinogradov, M, 5'10", 10 01, 17-11-81, Pskov, Krylia Sovetov
14, Essau Boxer Kanyenda, F, 6'00", 12 04, 27-09-82, Lilongwe, Lokomotiv Moscow
15, Timofey Kalachev, M, 5'11", 11 00, 01-05-81, Minsk, Khimki
16, Illya Blyznyuk, G, 6'04", 13 08, 28-07-73, Zaporozhye, Shinnik
17, Maxim Burchenko, M, 5'09", 10 12, 21-03-83, Lipetck, Uralan
18, Gia Grigalava, D, 6'02", 12 06, 05-08-89, Rostov, FC Rostov B
19, Konstantin Garbuz, F, 5'10", 11 09, 19-02-88, Rostov, FC Rostov B
21, Robertas Poškus, F, 6'00", 11 09, 05-05-79, Klaipėda, Zenit
22, Sergei Omelyanchuk, D, 5'09", 11 00, 08-08-80, Minsk, Shinnik
23, Sergey Bendz, D, 6'05", 12 11, 03-04-83, Rostov, FC Rostov B
24, Pavel Mogilevskiy, D, 6'00", 12 01, 17-04-80, Volgograd, Sodovik
25, Ivica Kralj, G, 6'05", 14 05, 26-03-73, Kotor, Partizan Belgrade
26, Maksym Trusevych, M, 5'09", 10 10, 01-08-85, Boryspil, Shakhtar Donetsk
27, Georgiy Dzhioev, M, 6'03", 12 13, 13-06-86, Vladikavkaz, Kuban
28, Aleksandr Danishevskiy, F, 5'09", 11 00, 23-02-84, Moscow, Kuban
30, Mikhail Osinov, M, 5'11", 11 11, 08-10-75, Kachkanar, Rotor
33, Dmitriy Tkachev, F, 5'10", 11 00, 07-07-89, Rostov, FC Rostov B
35, Aleksandr Stavpetch, F, 5'09", 10 10, 04-07-89, Rostov, FC Rostov B
37, Vladimir Khozin, M, 6'00", 11 09, 03-07-89, Rostov, FC Rostov B
38, Oleg Aleynik, M, 6'00", 11 00, 08-02-89, Rostov, FC Rostov B
40, Valeriy Polyakov, G, 6'02", 12 04, 13-07-89, Rostov, FC Rostov B
44, Oleg Leshchikov, D, 5'10", 11 09, 29-09-89, Rostov, FC Rostov B
57, Konstantin Mikhailov, M, 5'10", 11 00, 05-12-89, Rostov, FC Rostov B
69, Sergey Shudrov, M, 5'09", 10 10, 11-08-89, Rostov, FC Rostov B
70, Maxim Buznikin, F, 5'06", 10 08, 01-03-77, Krasnodar, Lokomotiv Moscow
74, Albert Nadj, D, 6'00", 11 11, 29-10-74, Zemun, Partizan Belgrade
86, Ivan Starkov, M, 5'10", 10 10, 10-01-86, Moscow, Lokomotiv Moscow

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
7, Ilja Kalashnikov, M, 5'09", 11 00, 10-07-82, Rostov, SKA Rostov-on-Don
13, Maksym Biletskyy, M, 5'09", 11 00, 07-01-80, Kiev, Chernomorets Odessa
20, Aleksandr Marenich, F, 5'09", 10 01, 29-04-89, Rostov, FC Moscow
10, Mihailo Pjanović, F, 6'00", 12 00, 13-02-77, Plimle, 
