=  CSKA Moscow - Russian Football Premier League 2011/12

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Sergey Chepchugov, RUS, G, 1.85, 82, 15-07-85, Krasnoyarsk, Sibir Novosibirsk
2, Deividas Šemberas, LTU, D, 1.87, 72, 02-08-78, Vilnius, Dynamo Moscow
3, Pontus Wernbloom, SWE, M, 1.87, 87, 25-06-86, Kungälv, AZ Alkmaar
4, Sergey Ignashevich, RUS, D, 1.86, 75, 14-07-79, Moscow, Lokomotiv Moscow
5, Viktor Vasin, RUS, D, 1.92, 80, 06-10-88, St. Petersburg, Spartak Nalchik
6, Aleksey Berezutskiy, RUS, D, 1.90, 82, 20-06-82, Moscow, Chernomorets
7, Keisuke Honda, JPN, M, 1.82, 75, 13-06-86, Osaka, VVV Venlo
8, Seydou Doumbia, CIV, F, 1.78, 70, 31-12-87, Yamoussoukro, Young Boys
10, Alan Dzagoev, RUS, M, 1.79, 70, 17-06-90, Beslan, CSKA-2
11, Mark González, CHI, M, 1.75, 70, 10-07-84, Durban, Betis
14, Kirill Nababkin, RUS, D, 1.76, 71, 08-09-86, Moscow, FC Moscow
17, Pavel Mamaev, RUS, M, 1.78, 70, 17-09-88, Moscow, Torpedo Moscow
18, Ahmed Musa, NGA, F, 1.70, 62, 14-10-92, Bukuru, VVV Venlo
19, Aleksandrs Cauņa, LVA, M, 1.74, 66, 19-01-88, Daugavpils, Skonto
21, Zoran Tošić, SRB, M, 1.71, 69, 28-04-87, Zrenjanin, Manchester U
22, Evgeniy Aldonin, RUS, M, 1.79, 72, 22-01-80, Alupka, Rotor Volgograd
24, Vasiliy Berezutskiy, RUS, D, 1.89, 83, 20-06-82, Moscow, Torpedo-ZIL
25, Elvir Rahimić, BIH, M, 1.91, 80, 04-04-76, Živinice, Anzhi Makhachkala
26, Sekou Oliseh, LBR, M, 1.87, 70, 05-06-90, Monrovia, FC Midtjylland
29, Kim In-Sung, KOR, M, 1.80, 75, 09-09-89, , Gangneung C
35, Igor Akinfeev, RUS, G, 1.85, 81, 08-04-86, Vidnoye, CSKA-2
36, Egor Ivanov, RUS, M, 1.84, 83, 19-06-92, Omsk, CSKA-2
38, Vyacheslav Isupov, RUS, G, 1.90, 80, 16-01-93, , CSKA-2
42, Georgi Schennikov, RUS, D, 1.78, 69, 27-04-91, Moscow, CSKA-2
45, Ilya Pomazun, RUS, G, 1.89, 84, 16-08-96, Kaliningrad, CSKA-2
48, Artem Popov, RUS, M, 1.76, 66, 30-08-92, Lipetsk, CSKA-2
49, Aleksandr Vasilyev, RUS, M, 1.82, 74, 23-01-92, Nizhegorodka, CSKA-2
59, Semen Fedotov, RUS, D, 1.78, 71, 02-03-92, , CSKA-2
61, Serder Serderov, RUS, F, 1.76, 69, 10-03-94, Makhachkala, CSKA-2
89, Tomáš Necid, CZE, F, 1.90, 81, 13-08-89, Prague, Slavia Prague
92, Petr Ten, RUS, D, 1.75, 67, 12-07-92, Moscow, CSKA-2
95, Sergey Revyakin, RUS, G, 1.89, 82, 02-04-95, Kronstadt, CSKA-2
99, Yevgeniy Kobzar, RUS, M, 1.70, 65, 09-08-92, , CSKA-2

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
20, Ouwo Moussa Maazou, NIG, F, 1.86, 78, 25-08-88, Niamey, Le Mans (On Loan)
9, Vágner Love, BRA, F, 1.71, 72, 11-06-84, Rio de Janeiro, Flamengo
30, Vladimir Gabulov, RUS, G, 1.90, 81, 19-10-83, Mozdok, Anzhi Makhachkala
15, Chidi Odiah, NGA, D, 1.80, 79, 17-12-83, Port Harcourt, 
