=  FC Rostov - Russian Football Premier League 2017/2018

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
2, Timofei Kalachev, BLR, M, 1.73, 69, 01-05-81, Mogilev, Krylia Sovetov
3, Maciej Wilusz, POL, D, 1.88, 85, 25-09-88, Wrocław, Lech Poznań
4, Sergey Parshivlyuk, RUS, D, 1.78, 73, 18-03-89, Moscow, Anzhi Makhachkala
5, Matija Boben, SVK, D, 1.91, 83, 26-02-94, Ljubljana, ND Gorica
6, Ragnar Sigurðsson, ISL, D, 1.87, 90, 19-06-86, Reykjavík, Fulham
7, Artur Yusupov, RUS, M, 1.79, 71, 01-09-89, Samara, Zenit St Petersburg
8, Ayaz Guliev, RUS, M, 1.69, 64, 27-11-96, Moscow, Spartak Moscow-2
9, Björn Sigurðarson, ISL, F, 1.86, 81, 26-12-91, Akranes, Molde
10, Aleksandr Zuev, RUS, M, 1.75, 62, 26-06-96, Kostanay, Spartak Moscow
12, Aleksey Ionov, RUS, M, 1.77, 68, 18-02-89, Kingisepp, Dynamo Moscow
14, Eldor Shomurodov, UZB, F, 1.90, 76, 29-06-95, Jarkurgan, Bunyodkor
15, Sverrir Ingi Ingason, ISL, D, 1.88, 83, 05-08-93, Kópavogur, Granada
16, Evgeniy Makeev, RUS, D, 1.81, 69, 24-07-89, Cherepovets, Spartak Moscow
17, Moussa Doumbia, MLI, M, 1.73, 68, 15-08-94, Bamako, Real Bamako
19, Khoren Bayramyan, RUS, M, 1.69, 60, 07-01-92, Koti, FC Rostov-2
20, Žan Majer, SVN, M, 1.79, 69, 25-07-92, Maribor, Domžale
21, Aleksandr Sapeta, RUS, M, 1.79, 73, 28-06-89, Engels, Dynamo Moscow
22, Vladimir Dyadyun, RUS, F, 1.80, 71, 12-07-88, Omsk, Rubin Kazan
23, Valeriu Ciupercă, MDA, M, 1.79, 73, 12-06-92, Tiraspol, Baltika Kaliningrad
30, Sergey Pesyakov, RUS, G, 1.95, 85, 16-12-88, Ivanovo, Spartak Moscow
31, Ilya Abaev, RUS, G, 1.92, 83, 02-08-81, Moscow, Lokomotiv Moscow
33, Konstantin Pliyev, RUS, D, 1.81, 60, 26-10-96, Vladikavkaz, Volgar Astrakhan
77, Dmitriy Skopintsev, RUS, D, 1.77, 67, 02-03-97, Voronezh, FC Liefering
84, Aleksandr Gaţcan, RUS, M, 1.85, 78, 27-03-84, Chişinău, Rubin Kazan
97, Yevgeniy Goshev, RUS, G, 1.97, 85, 17-06-97, Voronezh, FC Rostov-2

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
9, Maksim Grigoryev, RUS, F, 1.88, 75, 06-07-90, Lipetsk, Lokomotiv Moscow
28, Andrei Prepeliţă, ROU, M, 1.78, 70, 06-12-85, Slatina, Concordia Chiajna
6, Saeid Ezatolahi, IRN, M, 1.90, 78, 01-10-96, Bandar-e Anzali, Amkar Perm (On Loan)
23, Miha Mevlja, SVN, D, 1.90, 83, 12-06-90, Ljubljana, Zenit St Petersburg
44, Josimar Quintero, ECU, M, 1.68, 61, 03-02-97, Guayaquil, Chelsea
91, Vitaliy Ustinov, RUS, D, 1.80, 70, 03-05-91, Moscow, Rubin Kazan
18, Pavel Mogilevets, RUS, M, 1.83, 70, 25-01-93, Kingisepp, Rubin Kazan
8, Igor Kireyev, RUS, M, 1.78, 67, 17-02-92, Zheleznogorsk, Avangard Kursk (On Loan)
11, Aleksandr Bukharov, RUS, F, 1.91, 83, 12-03-85, Naberezhnye Chelny, 
