=  Hibernian - Scottish Premier League 2009/10

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Graham Stack, IRL, G, 1.88, 79, 26-09-81, Hampstead, Plymouth Arg
2, Kevin McCann, SCO, D, 1.78, 71, 11-09-87, Glasgow, None
4, Chris Hogg, ENG, D, 1.83, 79, 21-03-85, Middlesbrough, Ipswich T
6, Ian Murray, SCO, M, 1.83, 72, 20-03-81, Edinburgh, Norwich C
7, Merouane Zemmama, MAR, M, 1.72, 66, 07-10-83, Rabat, Raja Casablanca
8, Patrick Cregg, IRL, M, 1.75, 65, 21-02-86, Dublin, Falkirk
9, Colin Nish, SCO, F, 1.91, 73, 07-03-81, Edinburgh, Kilmarnock
10, Derek Riordan, SCO, F, 1.81, 65, 16-01-83, Edinburgh, Hibernian
11, John Rankin, SCO, M, 1.73, 80, 27-06-83, Bellshill, Inverness CT
13, Thomas Flynn, ENG, G, 1.85, 85, 23-11-90, Newcastle upon Tyne, Newcastle U
15, Steven Thicot, FRA, D, 1.86, 80, 14-02-87, Montrieul-sous-Bois, Nantes
16, Lewis Stevenson, SCO, D, 1.70, 67, 05-01-88, Kirkcaldy, None
17, Kevin McBride, SCO, M, 1.78, 66, 14-06-81, Bellshill, Falkirk
18, Anthony Stokes, IRL, F, 1.80, 73, 25-07-88, Dublin, Sunderland
19, Abdessalam Benjelloun, MAR, F, 1.85, 80, 28-01-85, Fès, MAS Fès
20, Paul Hanlon, SCO, D, 1.80, 64, 20-01-90, Edinburgh, None
21, Graeme Smith, SCO, G, 1.85, 78, 08-06-83, Edinburgh, Brighton & HA
22, Danny Galbraith, SCO, M, 1.75, 65, 05-03-90, Galashiels, Manchester U
24, David Wotherspoon, SCO, M, 1.81, 76, 16-01-90, Perth, None
25, Darren McCormack, SCO, D, 1.83, 74, 29-09-88, Edinburgh, None
26, Souleymane Bamba, CIV, D, 1.90, 90, 13-01-85, Ivry-sur-Seine, Dunfermline Ath
28, Alan Gow, SCO, M, 1.83, 70, 09-10-82, Glasgow, Plymouth Arg
29, Kurtis Byrne, IRL, F, 1.83, 79, 09-04-90, Dublin, Norwich C
30, Scott Taggart, SCO, F, 1.83, 76, 27-12-91, Kilsyth, None
31, Mark Brown, SCO, G, 1.85, 84, 28-02-81, Motherwell, Celtic
32, Sean Welsh, SCO, M, 1.74, 70, 15-03-90, Leith, None
33, Liam Miller, IRL, M, 1.70, 66, 13-02-81, Cork, QPR
34, Lee Currie, SCO, D, 1.82, , 12-02-90, , None
50, Yves Makabu Ma-Kalambay, COD, G, 1.93, 83, 31-01-86, Brussels, Chelsea

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
3, David van Zanten, IRL, D, 1.78, 70, 08-05-82, Dublin, Greenock Morton
31, Jonatan Johansson, FIN, F, 1.84, 80, 16-08-75, Stockholm, St Johnstone
