=  St Mirren - Scottish Premier League 2010/11

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Paul Gallacher, SCO, G, 1.83, 77, 16-08-79, Glasgow, Dunfermline Ath
2, David van Zanten, IRL, D, 1.78, 70, 08-05-82, Dublin, Hamilton Academical
3, David Barron, SCO, M, 1.78, 80, 10-09-87, Greenock, None
4, Garry Brady, SCO, M, 1.78, 70, 07-09-76, Glasgow, Dundee
5, Lee Mair, SCO, D, 1.83, 71, 09-12-80, Aberdeen, Aberdeen
6, John Potter, SCO, D, 1.83, 80, 15-12-79, Dunfermline, Clyde
7, Hugh Murray, SCO, M, 1.78, 67, 08-01-79, Bellshill, None
8, Steven Thomson, SCO, M, 1.73, 68, 23-01-78, Glasgow, Brighton & HA
9, Craig Dargo, SCO, F, 1.68, 64, 03-01-78, Edinburgh, Inverness CT
10, Michael Higdon, ENG, F, 1.86, 80, 02-09-83, Liverpool, Falkirk
11, Jim Goodwin, IRL, M, 1.75, 77, 20-11-81, Waterford, Hamilton Academical
12, Craig Samson, SCO, G, 1.88, 80, 01-04-84, Irvine, Ayr U
14, Darren McGregor, SCO, D, 1.83, 87, 07-08-85, Edinburgh, Cowdenbeath
15, Paul McQuade, SCO, F, 1.70, 73, 17-05-87, Kirkcaldy, Cowdenbeath
16, Jure Travner, SVN, D, 1.80, 79, 28-09-85, Celje, Watford
17, Mark McAusland, SCO, D, 1.82, 64, 13-08-88, Paisley, Queen of the South
18, Gareth Wardlaw, SCO, F, 1.80, 79, 07-03-79, Kirkcaldy, Cowdenbeath
19, Paul McGowan, SCO, F, 1.70, 65, 07-10-87, Bellshill, Celtic
20, Sean Lynch, SCO, M, 1.78, 68, 31-01-87, Dechmont, Falkirk
21, Nick Hegarty, ENG, M, 1.78, 70, 25-06-86, Hemsworth, Grimsby T
22, Jamie McCluskey, SCO, M, 1.70, 55, 06-11-87, Bellshill, Wrexham
24, Kyle Faulds, SCO, M, , , 30-09-91, Irvine, None
25, Ally Love, SCO, M, 1.73, 71, 22-08-91, Irvine, None
26, Peter Bradley, NIR, D, 1.83, 73, 26-05-91, Magherafelt, Cowdenbeath
27, Patrick Cregg, IRL, M, 1.75, 65, 21-02-86, Dublin, Hibernian
29, Mark McLennan, SCO, M, , , 28-04-91, Glasgow, None
30, Paul Mathers, SCO, G, 1.80, 72, 17-01-70, Aberdeen, East Fife
33, Aaron Mooy, AUS, M, 1.73, 68, 15-09-90, Sydney, Bolton W
34, Hashim Cole, SCO, D, , , 07-07-93, Glasgow, None
35, Bradley Coyne, SCO, F, , , 10-04-93, Glasgow, None
36, Ryan Frances, SCO, D, , , 19-03-92, Glasgow, None
37, Josh Horne, SCO, D, , , 25-05-93, Paisley, None
38, Joel Kasubandi, COD, F, , , 25-05-93, , None
39, Dominic Kennedy, SCO, D, , , 14-05-92, Paisley, None
40, Mark Lamont, SCO, M, 1.79, 70, 04-02-93, Paisley, None
41, Creag Little, SCO, D, 1.93, 79, 16-04-93, Greenock, None
42, Adam McHugh, ENG, G, 1.85, 82, 29-05-92, Bishop Auckland, None
43, Jamie McKernon, SCO, M, 1.75, 74, 01-04-92, Irvine, None
44, Michael McKinven, SCO, G, , , 09-06-93, Glasgow, None
45, Kenny McLean, SCO, M, 1.83, 70, 08-01-92, Rutherglen, None
46, Jason Naismith, SCO, D, 1.69, 68, 25-06-94, Paisley, None
47, Graeme Ramage, SCO, F, , , 28-08-92, Alexandria, None
48, Conor Ramsay, SCO, M, 1.80, 57, 09-03-93, Paisley, None
49, Thomas Reilly, SCO, F, 1.67, 61, 15-09-94, Irvine, None
50, Craig Slater, SCO, M, 1.78, 74, 26-04-94, Glasgow, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
23, Jon McShane, SCO, F, , , 14-09-91, Paisley, Dumbarton (On Loan)
11, Steven Robb, SCO, M, 1.86, 59, 08-03-82, Perth, 
