=  Ross County - Scottish Premiership 2014/15

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Antonio Reguero, ESP, G, 1.87, 84, 04-07-82, Madrid, Kilmarnock
3, Abdoulaye Méité, CIV, D, 1.85, 82, 06-10-80, Paris, OFI
4, Rocco Quinn, SCO, M, 1.81, 76, 07-09-86, Glasgow, Queen of the South
5, Scott Boyd, SCO, D, 1.88, 75, 04-06-86, Whitburn, Partick Thistle
6, Steven Saunders, SCO, D, 1.87, 66, 23-02-91, Glasgow, Motherwell
7, Joe Cardle, ENG, M, 1.73, 60, 07-02-87, Blackpool, Raith R
8, Richard Brittain, SCO, M, 1.75, 67, 24-09-83, Bangour, St Mirren
9, Jake Jervis, ENG, F, 1.93, 82, 17-09-91, Birmingham, Portsmouth
10, Filip Kiss, SVK, M, 1.86, 75, 13-10-90, Dunajská Streda, Cardiff C
11, Craig Curran, ENG, F, 1.75, 74, 23-08-89, Liverpool, Nuneaton T
12, Jamie Reckord, ENG, D, 1.78, 75, 09-03-92, Wolverhampton, Wolverhampton W
13, Darren Barr, SCO, D, 1.75, 65, 17-03-85, Glasgow, Kilmarnock
16, Liam Boyce, NIR, F, 1.84, 85, 08-04-91, Belfast, Cliftonville
17, Steven Ross, SCO, F, 1.83, 70, 29-08-93, Inverness, None
18, Benedict Frempah, ENG, D, 1.88, 83, 29-01-96, Sassuolo, Leicester C
20, Darvydas Šernas, LTU, M, 1.80, 75, 22-07-84, Alytus, Wigry Suwałki
21, Mark Brown, SCO, G, 1.85, 84, 28-02-81, Motherwell, Hibernian
22, Rubén Palazuelos, ESP, D, 1.87, 75, 11-04-83, Santander, Ermis Aradippou
23, Graham Carey, IRL, M, 1.83, 69, 02-05-89, Dublin, St Mirren
24, Raffaele De Vita, ITA, F, 1.80, 77, 23-09-87, Rome, Cheltenham T
26, Martin Woods, SCO, M, 1.75, 68, 01-01-86, Bellshill, Barnsley
28, Stephen Miller, SCO, D, , , 23-02-96, , None
29, Kyle Macleod, SCO, F, 1.81, 70, 07-06-95, Fortrose, None
30, Tony Dingwall, SCO, M, 1.70, 64, 25-07-94, Dingwall, None
31, Terry Dunfield, CAN, M, 1.70, 65, 20-02-82, Vancouver, Oldham Ath
33, Peter Tait, SCO, G, , , 07-07-97, Peterhead, Aberdeen
36, Jackson Irvine, AUS, M, 1.79, 70, 07-03-93, Melbourne, Celtic
38, Cameron Burgess, AUS, D, 1.94, 81, 21-10-95, Aberdeen, Fulham
40, Michael Gardyne, SCO, F, 1.70, 64, 23-01-86, Dundee, Dundee U
43, Paul Quinn, SCO, D, 1.83, 71, 21-07-85, Wishaw, Doncaster R
44, Marcus Fraser, SCO, D, 1.78, 70, 23-06-94, Bishopbriggs, Celtic

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
12, Marc Klok, NED, M, 1.77, 72, 20-04-93, Amsterdam, Cherno More Varna
11, Melvin de Leeuw, NED, M, 1.83, 72, 25-04-88, Bergen op Zoom, Army U
22, Rosario Latouchent, FRA, M, 1.80, 70, 21-03-96, Sarcelles, 
2, Tim Dreesen, BEL, D, 1.90, 82, 30-01-87, Geel, 
3, Uroš Celcer, SVN, D, 1.82, 76, 07-04-89, , 
20, Jordi Balk, NED, D, 1.93, 89, 26-04-94, Cothen, FC Oss
19, Jim Fenlon, ENG, D, 1.81, 76, 03-03-94, Lewisham, Hayes & Yeading U
15, Yoann Arquin, FRA, F, 1.89, 85, 15-04-88, Le Havre, St Mirren
14, Darren Maatsen, NED, M, 1.85, 69, 30-01-91, Vlaardingen, FC Den Bosch
25, Lewis Toshney, SCO, D, 1.91, 74, 26-04-92, Dundee, Cowdenbeath
