=  Dundee - Scottish Championship 2019/2020

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Jack Hamilton, SCO, G, 1.90, 75, 22-03-94, Denny, Hearts
2, Cammy Kerr, SCO, D, 1.75, 70, 10-09-95, Dundee, None
3, Jordan McGhee, SCO, D, 1.89, 77, 24-07-96, East Kilbride, Falkirk
4, Jamie Ness, SCO, M, 1.77, 72, 02-03-91, Irvine, Plymouth Arg
5, Jordon Forster, SCO, D, 1.87, 76, 23-09-93, Edinburgh, Cheltenham T
6, Josh Meekings, ENG, D, 1.83, 78, 02-09-92, Bury St Edmunds, Inverness CT
7, Christophe Berra, SCO, D, 1.86, 81, 31-01-85, Edinburgh, Hearts
8, Shaun Byrne, SCO, M, 1.78, 63, 09-06-93, Kirkcaldy, Livingston
9, Andrew Nelson, ENG, F, , , 16-09-97, Stockton-on-Tees, Sunderland
10, Paul McGowan, SCO, F, 1.70, 65, 07-10-87, Bellshill, St Mirren
11, Declan McDaid, SCO, M, 1.79, 60, 22-11-95, Greenock, Ayr U
14, Graham Dorrans, SCO, M, 1.75, 73, 05-05-87, Glasgow, Rangers
15, Tom Field, IRL, D, 1.77, 70, 14-03-97, Kingston upon Thames, Brentford
16, Christie Elliott, ENG, D, 1.88, 79, 26-05-91, Jarrow, Carlisle U
17, Oliver Crankshaw, ENG, F, 1.82, 75, 12-08-98, Preston, Wigan Ath
19, Finlay Robertson, SCO, M, 1.71, 64, 12-11-02, Dundee, None
20, Ross Callachan, SCO, M, 1.78, 64, 04-09-93, Hounslow, St Johnstone
21, Sean Mackie, SCO, D, 1.78, 75, 04-11-98, Edinburgh, Hibernian
23, Jordan Marshall, ENG, D, 1.85, 72, 27-10-96, Newcastle upon Tyne, Queen of the South
24, Max Anderson, SCO, M, , , 17-05-01, , None
25, Lyall Cameron, SCO, M, 1.80, 63, 10-10-02, Dundee, None
28, Kane Hemmings, ENG, F, 1.86, 78, 08-04-91, Burton upon Trent, Notts Co
29, Sam Fisher, SCO, D, 1.85, 69, 26-07-01, Stirling, None
30, Harrison Sharp, SCO, G, 1.89, 81, 04-04-01, Aberdeen, None
31, Michael Cunningham, SCO, F, , , 10-03-01, , None
36, Conor Hazard, NIR, G, 1.98, 77, 05-03-98, Belfast, Celtic
40, Grant Rodger, SCO, D, , , 20-03-01, , Dundee U

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
14, Andrew Davies, ENG, D, 1.90, 92, 17-12-84, Stockton-on-Tees, 
15, Craig Curran, ENG, F, 1.75, 74, 23-08-89, Liverpool, Connah's Quay Nomads
20, Conor Hazard, NIR, G, 1.98, 77, 05-03-98, Belfast, Celtic
26, Josh Mulligan, SCO, M, 1.75, 64, 12-11-02, Dundee, Cove Rangers (On Loan)
17, Josh McPake, SCO, M, 1.83, 70, 31-08-01, Coatbridge, Rangers
7, Josh Todd, ENG, M, 1.78, 78, 11-06-94, Carlisle, Falkirk
22, Callum Moore, SCO, M, , , 22-03-00, , Stenhousemuir (On Loan)
18, Danny Johnson, ENG, F, 1.78, 82, 28-02-93, Middlesbrough, Leyton Orient
12, Calum Ferrie, ENG, G, 1.83, 78, 19-06-98, Shrewsbury, Falkirk (On Loan)
27, Luke Strachan, SCO, M, , , 01-05-01, , Brechin C (On Loan)
