=  Inverness Caledonian Thistle - Scottish Championship 2020/2021

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Mark Ridgers, SCO, G, 1.83, 82, 09-08-90, Inverness, Partick Thistle
2, Wallace Duffy, SCO, D, 1.73, 69, 12-04-99, Dunfermline, St Johnstone
3, Kevin McHattie, SCO, D, 1.81, 73, 15-07-93, Glenrothes, Derry C
4, Sean Welsh, SCO, M, 1.74, 70, 15-03-90, Leith, Falkirk
5, Lewis Toshney, SCO, D, 1.91, 74, 26-04-92, Dundee, Falkirk
6, Daniel Devine, NIR, D, 1.83, 70, 07-09-92, Belfast, Dunfermline Ath
7, James Keatings, SCO, F, 1.77, 63, 20-01-92, Glasgow, Hamilton Academical
8, David Carson, ENG, M, 1.78, 75, 20-09-95, Newcastle upon Tyne, Morpeth T
9, Anthony McDonald, SCO, M, 1.75, 66, 17-03-01, Kirkcaldy, Córdoba B
10, Aaron Doran, IRL, M, 1.70, 76, 13-05-91, Dublin, Blackburn R
11, Shane Sutherland, SCO, F, 1.85, 81, 23-10-90, Wick, Elgin C
12, Roddy MacGregor, SCO, M, -, -, 21-12-01, Inverness, None
14, James Vincent, ENG, M, 1.80, 70, 27-09-89, Glossop, Dundee
16, Cameron Harper, SCO, D, -, -, 10-11-01, Inverness, None
17, Miles Storey, ENG, F, 1.80, 70, 04-01-94, Sandwell, Partick Thistle
18, Scott Allardice, SCO, M, 1.81, 70, 31-03-98, Dundee, Waterford
19, Aaron Lyall, SCO, F, -, -, 27-09-03, Renfrew, Rangers
21, Cameron Mackay, SCO, G, 1.88, 75, 09-12-96, Inverness, None
22, Brad McKay, SCO, D, 1.86, 75, 26-03-93, Edinburgh, St Johnstone
23, Scott Allan, SCO, M, 1.75, 70, 28-11-91, Glasgow, Hibernian
24, Robbie Deas, SCO, D, 1.88, 78, 27-02-00, Perth, Celtic
25, Harry Nicolson, SCO, D, 1.86, 80, 16-01-01, Inverness, None
26, Ryan Fyffe, SCO, D, -, -, 14-11-01, Inverness, None
27, Daniel Mackay, SCO, M, 1.74, 69, 19-04-01, Glasgow, None
28, Lewis Hyde, SCO, M, -, -, 15-07-02, Inverness, None
29, Shane Harkness, SCO, F, -, -, 06-01-01, Inverness, None
31, Martin Mackinnon, SCO, G, -, -, 03-05-00, Fort William, None
77, Nikolay Todorov, BUL, F, 1.91, 80, 24-08-96, Pleven, Falkirk

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
19, Kai Kennedy, SCO, F, -, -, 28-03-02, Glasgow, Rangers
