=  Mallorca - Spanish La Liga 2000/01

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Germán Burgos, G, 6'02'', 14 11, 16-04-69, Mar de Plata, River Plate
2, Armando Alvarez, D, 5'08", 10 10, 18-07-70, Colmar, Deportivo La Coruña
3, Miquel Soler, D, 5'11'', 11 00, 13-03-65, Girona, Zaragoza
5, Fernando Niño, D, 6'01'', 12 13, 16-09-74, Cádiz, Xerez
6, Gustavo Lionel Siviero, D, 6'00'', 11 05, 13-09-69, Laguna Pavia, Lanús
7, Luis Carreras, D, 6'00'', 12 04, 24-09-72, Sant Pol de Mar, Barcelona
8, Carlos Domínguez, F, 5'06'', 10 03, 18-09-76, Seville, Sevilla
9, Samuel Eto'o, F, 5'11'', 11 11, 10-03-81, Nkon, Espanyol
10, Ariel Ibagaza, M, 5'05'', 10 03, 27-10-76, Buenos Aires, Lanús
13, Miki, G, 6'02'', 12 00, 20-12-75, Palma de Mallorca, Mallorca B
14, Javier Olaizola, D, 5'10'', 11 11, 28-11-69, San Sebastián, Eibar
15, Paco Soler, M, 5'07'', 11 00, 05-03-70, Palma de Mallorca, Mallorca B
17, Finidi George, M, 6'00", 12 04, 15-04-71, Puthovcourt, Betis
18, Marcos Martin, M, 5'11'', 11 07, 17-09-68, Palma de Mallorca, Merida
19, Albert Luque, F, 6'00'', 12 08, 11-03-78, Barcelona, Málaga
20, Miguel Angel Nadal, D, 6'02'', 13 01, 28-07-66, Manacor, Barcelona
22, Leo Biagini, F, 6'00'', 11 05, 13-04-77, Arroyo Seco, Mérida
23, Vicente Engonga, M, 5'11'', 13 03, 20-10-65, Barcelona, Valencia
25, Leo Franco, G, 6'02'', 13 05, 20-05-77, San Nicolas, Merida
26, Julian Robles, M, 6'00'', 12 01, 28-03-81, Palma de Mallorca, Mallorca B
27, Guiza, F, 5'11", 12 08, 17-08-80, Jerez de la Frontera, Mallorca B
28, Alvaro Novo, M, 6'00'', 12 00, 16-05-78, Córdoba, Carabanchel
29, Romerito, M, 6'03", 11 00, 20-02-77, Seville, Xerez
30, Jorge Cordero, D, 5'09", 11 00, 04-06-77, Cartagena, Castellón
31, Albert Riera, M, 6'01", 12 01, 15-04-82, Manacor, Mallorca B
34, José Luis Perera, F, 5'10", 11 07, 12-04-80, Olivenza, Mallorca B

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
12, Ardijan Djokaj, M, 5'10", 10 08, 23-05-79, Podgorica, Lleida (On Loan)
1, Carlos Angel Roa, G, 6'03'', 13 10, 15-08-69, Santa Fe, De-Registered
11, Jovan Stankovic, M, 6'01", 12 04, 04-03-71, Belgrade, Marseille (On Loan)
21, Josemi, F, 5'11", 11 00, 28-01-76, Palma de Mallorca, Lleida
