=  Recreativo Huelva - Spanish Segunda Divisón A 2003/04

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, José Antonio Luque, G, 6'00'', 12 11, 18-02-74, Seville, Linense
2, Francisco Javier Jusué, D, 5'10'', 12 01, 30-11-79, Valtierra, Osasuna
3, Mariano Andres Pérnía, D, 5'10'', 12 06, 05-04-74, Capital Federal, Independiente
4, Iker Begoña, M, 6'00'', 12 04, 15-11-76, Bilbao, Alicante
5, José Galán, D, 6'02'', 12 04, 26-07-73, Sanlucar, Xerex
6, Juan Merino, D, 5'09'', 11 11, 24-08-80, La Linea, Betis
7, David Pérez Arteaga, M, 5'06'', 09 13, 01-01-82, Seville, Sevilla
8, Ximo Enguix, M, 5'11'', 12 00, 18-02-78, Tabernes, Valencia
10, Ignacio Benítez, M, 5'08'', 10 10, 09-12-79, Huelva, Recreativo B
11, Raúl Molina, F, 5'10'', 10 03, 25-11-76, Jerez de la Frontera, Espanyol
12, Sergio Tejero, D, 5'10", 11 00, 03-02-79, Lebrija, Sevilla B
13, Toño, G, 6'01'', 13 05, 17-12-79, Alicante, Hércules
14, Loren, D, 6'01'', 12 13, 16-10-70, Marbella, Sevilla
15, Emilio José Viqueira, M, 6'02'', 12 08, 23-09-74, Santiago de Compostela, Xerez
16, Pedro Baquero, M, 6'00'', 12 04, 02-10-80, Huelva, Tarragona
17, Miguel Albiol, M, 5'10'', 10 06, 02-09-81, Valencia, Valencia B
18, Ikechukwu Uche, M, 5'10'', 11 03, 05-01-84, Nigeria, Racing Ferrol
19, Diego Camacho, M, 6'01'', 13 03, 03-10-76, Madrid, Granada
20, Alex Perreira, D, 5'11'', 11 00, 15-07-77, Caracas, Sporting Gijón B
21, Mariano Toedtli, F, 6'00'', 12 13, 23-03-76, Córdoba, Sevilla
22, Javi García, M, 5'07'', 10 10, 05-10-77, Girona, Lleida
23, Oscar Arpón, D, 6'00'', 11 00, 09-04-75, Calahorra, Poli Ejido
24, Moreno, F, 5'07'', 10 12, 18-09-79, Almería, Almería
25, Manu del Moral, F, 6'01", 13 03, 25-02-84, Jaén, Atlético Madrid B
28, Juanma Barba, M, 6'03", 13 01, 23-03-84, Huelva, Recreativo B
30, Rafael Leva, G, 5'07'', 11 05, 27-09-81, Barcelona, Hospitalet

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
11, Kaiku, F, 5'09'', 10 10, 26-07-72, Galdácano, Ciudad de Murcia
9, Mario Bermejo, F, 5'10'', 11 11, 07-10-78, Santander, Racing Ferrol
