=  Albacete - Spanish Segunda Divisón A 2005/06

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Ricardo Sanzol, G, 6'00'', 12 06, 08-04-76, Pamplona, Osasuna
2, Javier Garrido, D, 5'10'', 12 00, 01-07-79, Valencia, Valencia
3, Mingo, D, 5'10'', 10 10, 10-06-77, Hostalric, Betis
4, David Català, D, 6'01'', 12 11, 03-05-81, Barcelona, Espanyol B
5, Libero Parri, M, 5'09'', 11 00, 18-01-82, Burjasot, Valencia
6, Santi, D, 5'11'', 11 07, 09-03-74, Albacete, Atlético Madrid
7, Jordi Ferrón, D, 5'10'', 11 07, 19-08-78, Barcelona, Zaragoza
8, Juanlu, F, 5'08", 11 00, 08-05-80, Málaga, Betis
9, Mario Bermejo, F, 5'10'', 11 11, 07-10-78, Santander, Racing Ferrol
10, Luismi, F, 5'09", 11 03, 17-08-83, Cácares, Espanyol B
11, David Pirri, M, 5'09'', 10 03, 12-02-74, Sabadell, Zaragoza
12, Raúl Molina, F, 5'10", 10 03, 25-11-76, Jerez de la Frontera, Rayo Vallecano
13, Rubén Martín, G, 6'01", 13 08, 12-05-80, Talavera de la Reina, Atlético Madrid B
14, David Cañas, M, 5'10'', 12 08, 26-08-78, Castilleja de la Cuesta, Salamanca
15, Manuel Gato, F, 5'07", 10 03, 28-01-84, Benidorm, Albacete B
16, David Sánchez, M, 5'11'', 11 09, 25-07-82, Seville, Barcelona B
17, Sergio Santamaría, F, 5'10'', 11 05, 16-07-80, Málaga, Barcelona B
18, Álvaro, M, 5'10'', 11 00, 18-04-79, Logroño, Zaragoza B
19, Paco Peña, D, 5'07'', 10 01, 25-07-78, Jerez de los Caballeros, Levante
20, Miguel Angel Corona, M, 5'10'', 10 10, 12-02-81, Talavera, Zaragoza
21, Mikel, F, 6'01'', 12 13, 26-08-74, Bilbao, Lleida
22, Miguel Buades, D, 6'02'', 13 05, 04-03-80, Sa Pobla, Mallorca B
23, David Bauzá, M, 6'01'', 12 01, 29-05-76, Alicante, Sporting Gijón
24, Carlos Reina Aranda, F, 6'01'', 12 13, 27-07-80, Málaga, Sevilla
25, Basti, F, 5'11", 12 04, 21-06-74, Málaga, Ceuta
26, Pablo Garcia, M, 5'10", 11 07, 31-05-85, Albacete, Albacete B
29, César, F, 5'07", 12 06, 15-01-87, Villamalea, Albacete B
31, David Galindo, D, 6'00", 12 00, 29-05-83, Castellón, Albacete B

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
8, Rubén Reyes, M, 6'01", 11 07, 05-01-79, Oviedo, Pontevedra
20, Antonio Pacheco, F, 5'08'', 11 03, 11-04-76, Montevideo, Alavés (On Loan)
12, Mark González, M, 5'09", 11 00, 10-07-84, Durban, Liverpool
