=  Osasuna - Spanish La Liga 2009/10

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Ricardo, ESP, G, 1.87, 88, 30-12-71, Madrid, Manchester U
2, César Azpilicueta, ESP, D, 1.78, 70, 28-08-89, Pamplona, Osasuna B
3, Nacho Monreal, ESP, D, 1.78, 72, 26-02-86, Pamplona, Osasuna B
4, Miguel Flaño, ESP, D, 1.77, 72, 19-08-84, Pamplona, Osasuna B
5, Rovérsio, BRA, D, 1.87, 70, 17-01-84, Igrassú, Paços de Ferreira
6, Javad Nekounam, IRN, M, 1.86, 78, 07-09-80, Shar Rey, Sharjah FC
7, Ludovic Delporte, FRA, M, 1.78, 73, 06-02-80, St-Catherine-les-Arcs, Lens
8, Masoud Shojaei, IRN, M, 1.84, 73, 09-06-84, Shiraz, Al Sharjah
10, Patxi Puñal, ESP, M, 1.79, 73, 06-09-75, Pamplona, Leganés
11, Walter Pandiani, URU, F, 1.84, 75, 27-04-76, Montevideo, Espanyol
12, Juanfran, ESP, D, 1.80, 72, 09-01-85, Crevillent, Real Madrid B
13, Roberto, ESP, G, 1.81, 76, 25-01-79, Chantada, Sporting Gijón
14, Josetxo, ESP, D, 1.85, 79, 25-02-77, Pamplona, Osasuna B
15, Oier Sanjurjo, ESP, M, 1.78, 66, 25-05-86, Pamplona, Osasuna B
16, Jorge Galán, ESP, F, 1.73, 72, 22-01-89, Pamplona, Osasuna B
17, Javier Camuñas, ESP, M, 1.73, 71, 17-07-80, Madrid, Recreativo Huelva
18, Dady, CPV, F, 1.90, 84, 13-08-81, Lisbon, Belensenses
19, Javier Calleja, ESP, M, 1.72, 70, 12-05-78, Madrid, Málaga
20, Carlos Aranda, ESP, F, 1.86, 82, 27-07-80, Málaga, Numancia
21, Krisztián Vadócz, HUN, M, 1.88, 83, 30-05-85, Budapest, NEC Nijmegen
22, Ruper, ESP, M, 1.80, 76, 04-06-87, Estella, Osasuna B
23, Sergio Fernández, ESP, D, 1.91, 81, 23-05-77, Avilés, Zaragoza
24, Jokin Esparza, ESP, M, 1.77, 68, 15-06-88, Pamplona, Osasuna B
25, Ion Echaide, ESP, D, 1.79, 78, 05-01-88, Pamplona, Osasuna B
26, Andrés Fernández, ESP, G, 1.84, 86, 17-12-86, Murcia, Mallorca B
32, Alán Baró, ESP, M, 1.80, 79, 22-06-85, Darnius, Alicante

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
9, Javier Portillo, ESP, F, 1.80, 70, 30-03-82, Aranjuez, Hércules
