=  Deportivo La Coruña - Spanish La Liga 2010/11

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Daniel Aranzubia, ESP, G, 1.84, 80, 18-09-79, Logroño, Athletic Bilbao
2, Manuel Pablo, ESP, D, 1.76, 80, 25-01-76, Arucas, Las Palmas
3, Claudio Morel Rodríguez, PAR, D, 1.75, 76, 02-02-78, Asunción, Boca Juniors
4, Rubén Pérez, ESP, M, 1.78, 72, 26-04-89, Seville, Atlético Madrid B
5, Zé Castro, POR, D, 1.83, 76, 13-01-83, Coimbra, Atlético Madrid
6, Juca, BRA, M, 1.79, 75, 19-11-79, Passo Fundo, Partizan Belgrade
7, Alberto Lopo, ESP, D, 1.86, 81, 05-05-80, Barcelona, Espanyol
8, Lassad Nouioui, TUN, F, 1.89, 78, 08-03-85, Marseille, Deportivo B
9, Míchel, ESP, F, 1.81, 69, 29-07-88, Valencia, Valencia B
10, Adrián López, ESP, F, 1.80, 71, 08-01-88, San Martín de Teverga, Deportivo B
11, Riki, ESP, F, 1.87, 84, 11-08-80, Aranjuez, Getafe
12, Saúl, ESP, M, 1.76, 78, 09-04-85, Oviedo, Elche
13, Manu, ESP, G, 1.82, 77, 09-03-86, Gijón, Deportivo B
14, Pablo Álvarez, ESP, M, 1.74, 67, 14-05-80, Oviedo, Sporting Gijón
15, Laure, ESP, D, 1.66, 68, 22-03-85, Madrid, Deportivo B
16, Antonio Tomás, ESP, M, 1.76, 75, 19-01-85, Torrelavega, Racing Santander B
17, Xisco, ESP, F, 1.86, 84, 27-06-86, Palma de Mallorca, Newcastle U
18, Andrés Guardado, MEX, M, 1.69, 60, 28-09-86, Guadalajara, Atlas
19, Diego Colotto, ARG, D, 1.84, 81, 03-10-81, Rio Cuarto, Atlas
20, Yves Desmarets, FRA, M, 1.78, 72, 19-07-79, Paris, Vitória Guimarães
21, Juan Carlos Valerón, ESP, M, 1.80, 72, 17-06-75, Las Palmas, Atlético Madrid
22, Juan Rodríguez, ESP, M, 1.85, 80, 01-04-82, Málaga, Málaga
23, Aythami, ESP, D, 1.85, 80, 02-04-86, Maspalomas, Las Palmas
24, José Sand, ARG, F, 1.82, 72, 17-07-80, Bella Vista, Al-Ain
25, Javito, ESP, F, 1.74, 69, 04-11-83, Moraleja, Aris
26, Felipe, ESP, G, 1.86, 86, 10-01-88, Madrid, Real Madrid B
27, David Rochela, ESP, D, 1.80, 77, 19-02-90, As Pontes de García Rodríguez, Deportivo B
28, Juan Domínguez, ESP, M, 1.81, 71, 08-01-90, Pontedeume, Deportivo B
29, David Añón, ESP, F, 1.72, 73, 03-04-89, La Coruña, Deportivo B
30, Stopira, CPV, D, 1.80, 74, 20-05-88, Praia, Deportivo B
31, Dani Rodríguez, ESP, M, 1.77, 71, 06-06-88, Betanzos, Deportivo B
32, Raúl García, ESP, D, 1.75, 72, 30-04-89, La Coruña, Deportivo B
33, Diego Seoane, ESP, D, 1.80, 75, 26-04-88, Ourense, Deportivo B
34, Dioni, ESP, F, 1.84, 82, 21-12-89, Málaga, Deportivo B
35, Diego Rivas, ESP, G, 1.81, 75, 27-05-87, Narón, Deportivo B
37, Iago Beceiro, ESP, F, 1.86, 79, 15-03-93, La Coruña, Deportivo B

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
25, Piscu, ESP, D, 1.84, 77, 25-02-87, As Pontes de García Rodríguez, Wigan Ath
17, Jonathan Urretavizcaya, URU, F, 1.74, 62, 19-03-90, Montevideo, Benfica
24, Knut Olav Rindarøy, NOR, D, 1.77, 74, 17-07-85, Molde, Molde
36, André André, POR, M, 1.77, 65, 26-08-89, Vila do Conde, Varzim
