=  Sporting Gijón - Spanish Segunda División A 2014/15

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Iván Cuéllar, ESP, G, 1.85, 75, 25-05-84, Mérida, Atlético Madrid
2, Luis Hernández, ESP, D, 1.82, 74, 14-04-89, Madrid, Real Madrid B
3, Álex Menéndez, ESP, D, 1.81, 67, 15-07-91, Gijón, Sporting Gijón B
4, Mandi, ESP, M, 1.78, 74, 01-03-89, Las Palmas, Real Madrid B
5, Bernardo Espinosa, COL, D, 1.92, 86, 11-07-89, Cali, Sevilla
6, Sergio Álvarez, ESP, M, 1.80, 65, 23-01-92, Avilés, Sporting Gijón B
7, Juan Muñiz, ESP, M, 1.78, 74, 13-03-92, Gijón, Sporting Gijón B
8, Álex Barrera, ESP, M, 1.90, 78, 12-05-91, Oviedo, Sporting Gijón B
9, Miguel Ángel Guerrero, ESP, F, 1.81, 76, 12-07-90, Toledo, Albacete B
10, Nacho Cases, ESP, M, 1.74, 64, 22-12-87, Gijón, Sporting Gijón B
11, Alberto Lora, ESP, D, 1.68, 67, 25-03-87, Móstoles, Sporting Gijón B
13, Alberto, ESP, G, 1.82, 77, 09-02-85, Barcelona, Córdoba
14, Iván Hernández, ESP, D, 1.85, 80, 27-02-80, Madrid, Valladolid
15, Álex Serrano, ESP, F, 1.84, 78, 06-02-95, Barcelona, Sporting Gijón B
16, Carlos Castro, ESP, F, 1.77, 68, 01-06-95, Ujo, Sporting Gijón B
17, Santi Jara, ESP, F, 1.78, 69, 02-02-91, Almansa, Sporting Gijón B
18, Isma López, ESP, F, 1.80, 76, 29-01-90, Pamplona, Athletic Bilbao
19, Carlos Carmona, ESP, F, 1.77, 71, 05-07-87, Palma de Mallorca, Barcelona B
20, Julio, ESP, D, 1.94, 86, 07-12-95, Mieres, Sporting Gijón B
21, Hugo Fraile, ESP, F, 1.70, 62, 16-03-87, Huelva, Getafe
23, Jony, ESP, F, 1.79, 80, 09-07-91, Cangas del Narcea, Sporting Gijón B
26, Dennis, ESP, G, 1.82, 65, 08-08-92, Mieres, Sporting Gijón B
28, Jorge Meré, ESP, D, 1.82, 77, 17-04-97, Oviedo, Sporting Gijón B
29, Rachid Aït-Atmane, ALG, M, 1.90, 76, 04-02-93, Paris, Sporting Gijón B
30, Pablo Pérez, ESP, M, 1.87, 71, 02-08-93, Gijón, Sporting Gijón B
32, Álvaro Bustos, ESP, M, 1.73, 70, 26-06-95, Gijón, Sporting Gijón B
33, Dani Ndi, CMR, M, 1.78, 76, 18-08-95, Douala, Sporting Gijón B

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
12, Stefan Šćepović, SRB, F, 1.86, 79, 10-01-90, Belgrade, Celtic
