=  Örebro SK - Swedish Allsvenskan 2007

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Peter Westman, G, 6'01", 13 08, 12-07-72, , Ludvika FK
2, Fredrik Samuelsson, D, 5'11", 12 06, 14-10-80, , Assyriska FF
3, Joel Riddez, D, 5'11", 11 11, 21-05-80, , Assyriska FF
4, Magnus Wikström, D, 6'05", 14 11, 07-12-77, , Gefle IF
5, Lars Larsen, M, 5'10", 11 05, 06-12-70, , AB København
7, Johan Pettersson, F, 6'02", 12 08, 20-03-80, , IK Sirius
8, Fredrik Nordback, M, 6'00", 12 06, 20-03-79, Hangö, Hangö IK
9, Patrik Anttonen, M, 5'10", 11 07, 06-03-80, , BK Forward
10, Jon Lundblad, F, 5'11", 12 06, 19-02-82, Örebro, Reims
11, Stefan Rodevåg, F, 6'00", 12 04, 11-06-80, , Falkenbergs FF
12, Yunus Ismail, F, 6'00", 11 05, 14-09-85, , IK Franke
13, Robert Walker, M, 5'10", 11 09, 06-03-87, Örebro, GIF Sundsvall
14, Glenn Holgersson, D, 6'00", 12 11, 05-09-79, , Malmö FF
15, Fredrik Jansson, D, 6'01", 13 08, 20-09-76, , Forssa BK
16, Moses Reed, D, 5'10", 12 08, 23-05-88, , IFK Kumla
17, Richard Richardsson, G, 6'02", 13 03, 12-04-79, , IFK Göteborg
18, Joakim Green, D, 6'00", 12 00, 01-05-86, , Mellringe Eker IF
19, Patrik Haginge, D, 6'00", 11 09, 02-04-85, , Mellringe Eker IF
20, Zebastian Lovén, D, 6'03", 12 13, 16-05-87, , ÖSK Ungdom
21, Sebastian Henriksson, F, 6'02", 13 03, 12-10-74, Degerfors, Odd
22, James Frempong, M, 5'08", 09 13, 11-01-89, , ÖSK Ungdom
24, Ian Jeffs, F, 5'09", 12 00, 12-10-82, Chester, ÍBV
25, Nordin Gerzic, M, 5'09", 12 06, 09-01-83, , Rynninge IK
27, Kristoffer Näfver, M, 5'10", 10 12, 28-03-86, , Adolfsbergs IK
29, Nedim Halilović, M, 6'02", 12 01, 01-07-79, Tuzla, Varteks Varaždin
30, Anders Karlsson, G, 6'00", 13 05, 27-04-63, , Byske IF
77, Abgar Barsom, M, 5'08", 11 11, 04-09-77, Örebro, Messiniakos

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
6, Magnus Samuelsson, D, 6'00", 13 03, 21-05-71, , Raufoss
23, Kevin Walker, M, 5'09", 11 09, 03-08-89, Örebro, AIK
