=  Lausanne-Sport - Swiss Super League 2016/17

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Thomas Castella, SUI, G, 1.85, 76, 30-06-93, Fribourg, Neuchâtel Xamax
3, Carlos Blanco, ESP, D, 1.88, 70, 01-06-96, Barcelona, Juventus
4, Jérémy Manière, SUI, D, 1.82, 74, 26-07-91, , Biel/Bienne
5, Xavier Margairaz, SUI, M, 1.85, 80, 07-01-84, Rances, Servette
6, Elton Monteiro, SUI, D, 1.92, 85, 22-02-94, Sion, Club Brugge
7, Benjamin Kololli, KVX, M, 1.80, 76, 15-05-92, Aigle, Biel/Bienne
8, Musa Araz, SUI, M, 1.68, 65, 17-01-94, Fribourg, Basel
9, Pak Kwang-Ryong, PRK, F, 1.88, 83, 27-09-92, Pyongyang, Biel/Bienne
10, Kevin Méndez, URU, F, 1.74, 67, 10-01-96, Trinidad, Roma
11, Samuele Campo, SUI, M, 1.77, 70, 06-07-95, Basel, Basel
12, Marcus Diniz, BRA, D, 1.81, 80, 01-08-87, Vitoria, Padova
13, Paolo Frascatore, ITA, D, 1.87, 84, 04-01-92, Rome, Roma
14, Alexandre Pasche, SUI, M, 1.70, 61, 31-05-91, Lausanne, Servette
15, Juan Esnáider, ESP, F, 1.83, 75, 31-01-92, Madrid, Toledo
16, Nicolas Gétaz, SUI, D, 1.82, 82, 11-06-91, Yverdon, Le Mont
17, Olivier Custodio, SUI, M, 1.79, 74, 10-02-95, Montreux, None
18, Andrea Maccoppi, ITA, M, 1.78, 61, 22-01-87, Milan, Chiasso
19, Francesco Margiotta, ITA, F, 1.78, 77, 15-07-93, Turin, Juventus
20, Maxime Dominguez, SUI, M, 1.72, 59, 01-02-96, Genf, Zürich
21, Ming-yang Yang, SUI, M, 1.72, 63, 11-07-95, Basel, Neuchâtel Xamax
22, Kevin Martin, SUI, G, 1.80, 81, 13-06-95, Lausanne, Yverdon-Sport
23, Jordan Lotomba, SUI, M, 1.77, 67, 29-09-98, Yverdon-les-Bains, None
24, Xavier Tomas, FRA, D, 1.93, 83, 04-01-86, Nantua, Bnei Yehuda Tel Aviv
25, Nassim Ben Khalifa, SUI, F, 1.80, 69, 13-01-92, Prangins, Eskişehirspor
28, Yeltsin Tejeda, CRC, M, 1.77, 66, 17-03-92, Puerto Limón, Évian TG
33, Taye Taiwo, NGA, D, 1.83, 77, 16-04-85, Lagos, HJK Helsinki
35, Dany Da Silva, SUI, G, 1.88, 78, 02-03-93, Lausanne, Sion
37, Gabriel Torres, PAN, F, 1.80, 72, 13-10-88, Ciudad de Panamá, Zamora

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
27, Andi Zeqiri, SUI, F, 1.81, 72, 22-06-99, Lausanne, Juventus (On Loan)
