=  Servette - Swiss Super League 2023/2024

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Joël Mall, SUI, G, 1.91, 83, 05-04-91, Baden, Olympiakos Nicosia
2, Omar Rekik, TUN, D, 1.86, 80, 20-12-01, Den Haag, Arsenal
3, Keigo Tsunemoto, JPN, D, 1.72, 64, 21-10-98, Kanagawa, Kashima Antlers
4, Steve Rouiller, SUI, D, 1.83, 74, 10-07-90, Monthey, Lugano
5, Gaël Ondoua, CMR, M, 1.85, 80, 04-11-95, Yaoundé, Hannover 96
6, Anthony Baron, FRA, D, 1.80, 75, 29-12-92, Villepinte, Yverdon Sport
7, Takuma Nishimura, JPN, F, 1.78, 70, 22-10-96, Nagoya, Yokohama F Marinos
8, Timothé Cognat, FRA, M, 1.73, 67, 25-01-98, Arnas, Lyon
9, Miroslav Stevanović, BIH, M, 1.82, 71, 29-07-90, Zvornik, Željezničar
10, Alexis Antunes, SUI, M, 1.81, 72, 31-07-00, Geneva, None
11, Bassirou N'Diaye, SEN, F, 1.81, 75, 15-02-02, -, Lorient
12, Issa Kaloga, SUI, D, 1.82, 72, 27-02-04, -, None
17, Dereck Kutesa, SUI, M, 1.76, 67, 06-12-97, Geneva, Reims
18, Bradley Mazikou, CGO, D, 1.77, 69, 02-06-96, Orléans, Aris
19, Yoan Severin, FRA, D, 1.86, 80, 24-01-97, Villeurbanne, Zulte-Waregem
20, Théo Magnin, SUI, D, 1.71, 65, 09-08-03, Geneva, None
21, Jérémy Guillemenot, SUI, F, 1.82, 72, 06-01-98, Geneva, St. Gallen
22, Alexander Lyng, DEN, F, 1.77, 70, 26-11-04, Copenhagen, Helsingør
23, Ronny Rodelin, FRA, F, 1.92, 70, 18-11-89, Saint-Denis, Guingamp
25, Dylan Bronn, TUN, D, 1.85, 76, 19-06-95, Cannes, Salernitana
27, Enzo Crivelli, FRA, F, 1.84, 79, 06-02-95, Rouen, İstanbul Başakşehir
28, David Douline, FRA, M, 1.82, 80, 28-05-93, Grenoble, Rodez
30, Samba Dida, SEN, M, 1.92, 82, 24-12-03, Louga, ASAC Ndiambour
31, Tiemoko Ouattara, SUI, F, 1.78, 71, 25-05-05, -, None
32, Jérémy Frick, SUI, G, 1.92, 88, 08-03-93, Geneva, Biel/Bienne
40, Marwan Aubert, SUI, G, 1.86, 80, 12-02-06, -, None
41, Vasco Tritten, SUI, M, 1.80, 73, 29-08-05, -, None
42, Jarell Njiké Simo, SUI, M, 1.79, 81, 12-01-04, -, None
44, Léo Besson, KVX, G, 1.87, 77, 27-10-02, -, None
68, Jérôme Onguéné, CMR, D, 1.86, 76, 22-12-97, Mbalayo, Eintracht Frankfurt
77, Bendegúz Bolla, HUN, D, 1.77, 63, 22-11-99, Székesfehérvár, Wolverhampton W

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
7, Patrick Pflücke, GER, F, 1.70, 66, 30-11-96, Dresden, Mechelen
33, Nicolas Vouilloz, SUI, D, 1.84, 80, 11-05-01, Chêne-Bougeries, Basel
11, Boubacar Fofana, FRA, F, 1.82, 70, 07-09-98, Paris, Winterthur (On Loan)
26, Noah Henchoz, SUI, D, 1.82, 72, 22-02-02, Chêne-Bougeries, Étoile Carouge (On Loan)
29, Chris Bedia, CIV, F, 1.90, 74, 05-03-96, Abidjan, Union Berlin
2, Moussa Diallo, FRA, D, 1.78, 69, 27-01-97, Corbeil-Essonnes, Beroe Stara Zagora (On Loan)
45, Hussayn Touati, ALG, F, 1.76, 76, 03-10-01, Pontoise, Wil (On Loan)
