=  Akhisar Belediyespor - Turkish Süper Lig 2018/2019

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Milan Lukač, SRB, G, 1.97, 88, 04-10-85, Belgrade, Partizan Belgrade
2, Avdija Vršajević, BIH, D, 1.82, 75, 06-03-86, Tešanj, Osmanlıspor
3, Edin Cocalić, BIH, D, 1.89, 83, 05-12-87, Višegrad, Mechelen
4, Rajko Rotman, SVN, M, 1.87, 80, 19-03-89, Maribor, Kayserispor
5, Bilal Kısa, TUR, M, 1.80, 71, 22-06-83, Merzifon, Bursaspor
6, Aykut Çeviker, TUR, M, 1.75, 70, 03-01-90, Ankara, Balıkesirspor
7, Hélder Barbosa, POR, M, 1.72, 67, 25-05-87, Paredes, Al-Wasl
8, Eray Ataseven, TUR, M, 1.74, 66, 29-06-93, İzmit, Balıkesirspor
10, Güray Vural, TUR, M, 1.75, 75, 11-06-88, Afyon, Kayserispor
11, Onur Ayık, TUR, F, 1.80, 77, 28-01-90, Walsrode, Karabükspor
13, Miguel Lopes, POR, D, 1.82, 72, 19-12-86, Lisbon, Sporting CP
20, Abdou Sissoko, FRA, M, 1.80, 68, 20-03-90, Troyes, Mallorca
22, Mustafa Yumlu, TUR, D, 1.91, 77, 25-09-87, Trabzon, Trabzonspor
24, Dany Nounkeu, CMR, D, 1.84, 85, 11-04-86, Yaoundé, Karabükspor
27, Josué, POR, M, 1.74, 70, 17-09-90, Ermesinde, Osmanlıspor
28, Elvis Manu, NED, M, 1.73, 64, 13-08-93, Rotterdam, Gençlerbirliği
30, Jeremy Bokila, COD, F, 1.88, 78, 14-11-88, Kinshasa, Guangzhou R&F
33, Musa Nizam, TUR, D, 1.82, 73, 08-09-90, Antalya, Antalyaspor
34, Adrien Regattin, MAR, M, 1.66, 67, 22-08-91, Sète, Osmanlıspor
35, Bora Körk, TUR, G, 1.87, 78, 09-06-80, İzmir, Şanlıurfaspor
37, Sokol Çikalleshi, ALB, F, 1.87, 80, 27-07-90, Kavajë, Osmanlıspor
45, Halil Yeral, TUR, G, 1.90, 70, 01-01-00, Akhisar, None
61, Zeki Yavru, TUR, D, 1.78, 78, 05-09-91, Trabzon, Trabzonspor
66, Ali Kaan Güneren, TUR, M, , , 08-04-00, Merzifon, Yeni Amasyaspor
70, Göksu Mutlu, TUR, D, , , 17-02-99, Akhisar, None
77, Serginho Mineiro, BRA, M, 1.78, 70, 04-08-86, Contagem, Al-Wasl
88, Caner Osmanpaşa, TUR, D, 1.94, 81, 15-01-88, Trabzon, Trabzonspor
89, Kadir Keleş, TUR, D, 1.74, 73, 01-01-88, Trabzon, Trabzonspor
99, Fatih Öztürk, TUR, G, 1.91, 86, 22-12-86, Phalsbourg, Trabzonspor

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
19, Ömer Bayram, TUR, M, 1.73, 73, 27-07-91, Breda, Galatasaray
9, Yevhen Seleznev, UKR, F, 1.85, 77, 20-07-85, Makiivka, Málaga
17, Onurcan Güler, TUR, F, 1.80, 74, 24-03-95, Kelkit, Afyonspor (On Loan)
31, Daniel Larsson, SWE, M, 1.76, 77, 25-01-87, Gothenburg, Aris
