=  Dynamo Kiev - Ukrainian Premier League 2010/11

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Oleksandr Shovkovskiy, UKR, G, 1.91, 87, 02-01-75, Kiev, Dynamo Kiev-2
2, Danilo Silva, BRA, D, 1.85, 69, 24-11-86, Campinas, Internacional
3, Betão, BRA, D, 1.81, 78, 11-11-83, São Paulo, Santos
4, Tiberiu Ghioane, ROU, M, 1.81, 72, 18-06-81, Târgu-Secuiesc, Dynamo Kiev-2
5, Ognjen Vukojević, CRO, M, 1.84, 83, 20-12-83, Bjelovar, Dinamo Zagreb
6, Goran Popov, MKD, D, 1.89, 89, 02-10-84, Strumica, SC Heerenveen
7, Andriy Shevchenko, UKR, F, 1.81, 84, 29-09-76, Dvirkivschyna, Chelsea
8, Oleksandr Aliyev, UKR, M, 1.73, 72, 03-02-85, Khabarovsk, Lokomotiv Moscow
9, Andriy Yarmolenko, UKR, F, 1.87, 76, 23-10-89, Kiev, Desna Chernihiv
10, Artem Milevskyi, UKR, F, 1.90, 83, 12-01-85, Minsk, Borysfen Boryspil
14, Frank Temile, NGA, F, 1.78, 68, 15-07-90, Lagos, Valletta
15, Serhiy Rybalka, UKR, M, 1.80, 74, 01-04-90, Yamne, Arsenal Kharkiv
17, Taras Mykhalyk, UKR, D, 1.85, 77, 28-10-83, Lyubeshiv, CSKA Kiev
18, Facundo Bertoglio, ARG, M, 1.71, 66, 30-06-90, San José de la Esquina, Colón (Santa Fe)
19, Denys Harmash, UKR, M, 1.86, 75, 19-04-90, Luhansk, Dynamo Kiev-2
20, Oleh Husyev, UKR, M, 1.79, 74, 25-04-83, Sumy, Arsenal Kiev
21, Gerson Magrão, BRA, M, 1.81, 72, 13-06-85, Diadema, Cruzeiro
22, Artem Kravets, UKR, F, 1.85, 73, 03-06-89, Dniprodzerzhynsk, Dynamo Kiev-2
23, Roman Eremenko, FIN, M, 1.80, 67, 19-03-87, Moscow, Udinese
26, Andriy Nesmachnyy, UKR, D, 1.82, 72, 28-02-79, Bryansk, Dynamo Kiev-2
28, Chahir Belghazouani, FRA, M, 1.80, 70, 06-10-86, Porto-Vecchio, Grenoble
30, Badr El Kaddouri, MAR, M, 1.77, 70, 31-01-81, Casablanca, BAK
31, Stanislav Bohush, UKR, G, 1.92, 84, 25-10-83, Zaporozhye, Metalurh Zaporizhya
34, Yevhen Khacheridi, UKR, D, 1.97, 80, 28-07-87, Melitopol, Dynamo Kiev-2
35, Maksym Koval, UKR, G, 1.84, 70, 09-12-92, Zaporozhye, Metalurh Zaporizhya
36, Miloš Ninković, SRB, M, 1.80, 76, 25-12-84, Belgrade, Čukarički
37, Ayila Yussuf, NGA, M, 1.82, 73, 04-11-84, Lagos, Union Bank
44, Leandro Almeida, BRA, D, 1.88, 83, 14-03-87, Belo Horizonte, Atlético Mineiro
45, Vladyslav Kalytvyntsev, UKR, M, 1.78, 65, 04-01-93, Moscow, Dynamo Kiev-2
49, Roman Zozulya, UKR, F, 1.75, 62, 17-11-89, Kiev, Dynamo Kiev-2
53, Serhiy Lohinov, UKR, D, 1.89, 79, 24-08-90, Dnipropetrovsk, Dynamo Kiev-2
71, Denys Boyko, UKR, G, 1.91, 84, 29-01-88, Kiev, Dynamo Kiev-2
74, Artem Kychak, UKR, G, 1.98, 88, 16-05-89, Vinnytsia, Dynamo Kiev-2

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
11, André, BRA, F, 1.82, 77, 27-09-90, Cabo Frio, Bordeaux (On Loan)
77, Guilherme, BRA, F, 1.73, 77, 22-10-88, Imperatriz, Atlético Minero
