=  Chornomorets Odessa - Ukrainian Premier League 2016/17

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Danylo Kanevtsev, UKR, G, 1.87, 79, 26-07-96, Kharkiv, Metalist Kharkiv
2, Oleksandr Azatskyy, UKR, D, 1.90, 89, 13-09-94, Kharkiv, Dynamo Kyiv-2
3, Rizvan Ablitarov, UKR, D, 1.92, 80, 18-04-89, Sudak, Obolon-Brovar Kyiv
5, Davit Khocholava, GEO, D, 1.92, 80, 02-08-93, Tbilisi, Shukura Kobuleti
6, Kyrylo Kovalets, UKR, M, 1.78, 68, 02-07-93, Kyiv, Shakhtar Donetsk-3
7, Dmytro Korkishko, UKR, F, 1.75, 68, 04-05-90, Cherkasy, FC Poltava
8, Oleksandr Andriyevskyy, UKR, M, 1.72, 64, 25-06-94, Kyiv, Dynamo Kyiv
9, Oleksiy Khoblenko, UKR, F, 1.84, 76, 04-04-94, Yekaterinburg, Dynamo Kyiv-2
10, Artur Karnoza, UKR, M, 1.61, 59, 20-08-90, Dnipropetrovsk, Karpaty Lviv
11, Yevhen Smirnov, UKR, M, 1.85, 75, 16-04-93, , Chornomorets Odessa-2
15, Giorgi Gadrani, UKR, D, 1.92, 85, 30-09-94, Tbilisi, Gagra
17, Mykyta Tatarkov, UKR, F, 1.74, 67, 04-01-95, Zaporizhya, Metalurh Zaporizhya
18, Sílvio, BRA, F, 1.79, 78, 04-05-94, Ribeirão Preto, Batatais
20, Oleksandr Mashnin, UKR, M, 1.81, 69, 20-03-90, Mykolaiv, Real Pharma Odessa
22, Vladyslav Kabayev, UKR, M, 1.76, 55, 01-09-95, Odessa, Chornomorets Odessa-2
25, Yevhen Martynenko, UKR, D, 1.93, 75, 25-06-93, Odessa, Chornomorets Odessa-2
26, Jorge Elias, BRA, F, 1.80, 80, 06-06-91, , Kapfenberg
27, Serhiy Lyulka, UKR, D, 1.78, 70, 22-02-90, Kyiv, Slovan Liberec
30, Serhiy Smorodin, UZB, G, 1.86, 80, 15-02-94, Tashkent, Neftchi Fergana
33, Volodymyr Barilko, UKR, F, 1.85, 75, 29-01-94, Kharkiv, Metalist Kharkiv-2
71, Dmytro Bezruk, UKR, G, 1.90, 75, 30-03-96, Odessa, Chornomorets Odessa-2
75, Maksym Tretyakov, UKR, M, 1.75, 66, 06-03-96, Troitsko-Safonove, Dnipro Dnipropetrovsk-2
94, Oleh Danchenko, UKR, M, 1.78, 64, 01-08-94, Zaporizhya, Shakhtar Donetsk
96, Oleksandr Kaplienko, UKR, D, 1.62, 56, 07-03-96, Zaporizhya, Alanyaspor

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
10, Vladyslav Kalitvintsev, UKR, M, 1.78, 65, 04-01-93, Moscow, Dynamo Kyiv-2
20, Valeriy Kutsenko, UKR, M, 1.74, 68, 02-11-86, Kremenchuh, 
23, Sheriff Isa, NGA, M, 1.78, 72, 10-11-90, Sokoto, 
61, Mateus, BRA, D, 1.83, 80, 22-01-92, Rio Claro, 
12, Yevheniy Borovik, UKR, G, 1.86, 78, 02-03-85, Pryluky, Karpaty Lviv
16, Artem Filimonov, UKR, M, 1.80, 77, 21-02-94, Rivne, Karpaty Lviv
32, Serhiy Petko, UKR, D, 1.82, 75, 23-01-94, Kharkiv, Veres Rivne (On Loan)
