=  Olimpik Donetsk - Ukrainian Premier League 2018/2019

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Volodymyr Krynskyy, UKR, G, 1.96, 87, 14-01-97, Chkalovske, FC Poltava
4, Dmytro Hryshko, UKR, D, 1.82, 72, 02-12-85, Horlivka, SKA-Khabarovsk
5, Ilya Tymoshenko, UKR, D, 1.85, 82, 07-03-99, Donetsk, Volyn Lutsk
7, Ivan Sondey, UKR, M, 1.70, 60, 15-01-94, Holyn, Naftovyk-Ukrnafta
8, Serhiy Politylo, UKR, M, 1.65, 63, 09-01-89, Novovolynsk, Adana Demirspor
9, Oleksiy Hay, UKR, M, 1.81, 73, 06-11-82, Zaporizhya, Kuban Krasnodar
12, Betim Halimi, KVX, G, 2.04, 97, 28-02-96, Požaranje, Narva Trans
13, Vitaliy Koltsov, UKR, M, 1.75, 75, 20-03-94, Moyivka, Oleksandriya
17, Vitaly Balashov, UKR, F, 1.70, 60, 07-02-91, Odessa, Isloch
24, David Enogela, NGA, M, 1.77, 69, 04-02-98, Lagos, Young Stars
25, Matar Dieye, SEN, F, 1.91, 82, 10-01-98, , Este
27, Anton Shynder, UKR, F, 1.90, 88, 13-06-87, Sumy, Kisvárda
33, Andriy Kravchuk, UKR, M, 1.87, 77, 22-02-99, Chernivtsi, Olimpik Donetsk-2
37, Kostyantyn Makhnovskyy, UKR, G, 1.90, 80, 01-01-90, Horodysche, Desna Chernihiv
41, Hennadiy Pasich, UKR, M, 1.72, 61, 13-07-93, Dniprodzerzhynsk, Veras Rivne
42, Yevhen Pasich, UKR, M, 1.72, 61, 13-07-93, Dniprodzerzhynsk, Veras Rivne
44, Yevhen Tsymbalyuk, UKR, D, 1.81, 71, 19-06-96, Lyman, Olimpik Donetsk-2
47, Roman Vantukh, UKR, D, 1.76, 73, 04-07-98, Lviv, Dynamo Kyiv
63, Maxime Do Couto, FRA, M, 1.70, 60, 13-12-96, Neuilly-sur-Seine, Avoine OCC
71, Dany Junior Ltaif, UKR, G, 1.92, 86, 01-05-00, Donetsk, Torpedo Mykolaiv
74, Ihor Snurnitsyn, UKR, D, 1.78, 69, 07-03-00, Dokuchaievsk, Torpedo Mykolaiv
77, Maksym Dehtyarev, UKR, F, 1.83, 74, 30-05-93, Kirovsk, FC Poltava
78, Pavlo Ksonz, UKR, M, 1.76, 69, 02-01-87, Myrhorod, Sandecja Nowy Sącz
97, Yehor Klymenchuk, UKR, D, 1.80, 66, 11-11-97, Zaporizhya, Avanhard Kramatorsk

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
22, Stanislav Bilenkyy, UKR, F, 1.82, 78, 22-08-98, Donetsk, DAC Dunajská Streda
9, Yevhen Morozenko, UKR, M, 1.77, 67, 16-12-91, Kyiv, Chornomorets Odessa
11, Artur Zahorulko, UKR, F, 1.86, 67, 13-02-93, Odessa, Rukh Vynnyky
23, Dmytro Nyemchaninov, UKR, D, 1.90, 79, 27-01-90, Kyiv, Krylia Sovetov
15, Serhiy Melinyshyn, UKR, D, 1.90, 78, 26-05-97, Lviv, 
19, Yevhen Troyanovskyy, UKR, M, 1.76, 68, 02-07-93, Sloviansk, Avanhard Kramatorsk
79, Serhiy Vakulenko, UKR, D, 1.82, 69, 07-09-93, Kharkiv, Shakhtar Donetsk-2
11, Dmytro Bilonoh, UKR, M, 1.85, 79, 26-05-95, Cherkasy, Zirka Kropyvnytskyi
5, Anton Kravchenko, UKR, D, 1.89, 79, 23-03-91, Dnipropetrovsk, Kisvárda
87, Yevhen Zubeyko, UKR, D, 1.79, 67, 30-09-89, Artemovsk, 
