=  FC Mariupol - Ukrainian Premier League 2020/2021

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Yevhen Halchuk, UKR, G, 1.82, 71, 05-03-92, Kramatorsk, Shakhtar Donetsk-2
2, Oleksiy Bykov, UKR, D, 1.85, 67, 29-03-98, Khartsyzk, Shakhtar Donetsk-2
4, Serhiy Chobotenko, UKR, D, 1.93, 81, 16-01-97, Zaporizhya, Shakhtar Donetsk-2
6, Maksym Chekh, UKR, M, 1.75, 71, 03-01-99, Krasnaya Polyana, Shakhtar Donetsk-2
7, Dmytro Topalov, UKR, M, 1.76, 70, 12-03-98, Blyzhne, Shakhtar Donetsk-2
9, Dmytro Myshnyov, UKR, M, 1.70, 68, 26-01-94, Krasnyi Lyman, Illichivets Mariupol-2
11, Oleh Ocheretko, UKR, M, 1.79, 71, 25-03-03, Makiivka, Shakhtar Donetsk-2
14, Anton Baydal, UKR, F, 1.82, 73, 08-02-00, Mariupol, FC Mariupol-2
15, Kyrylo Melichenko, UKR, D, 1.76, 67, 07-06-99, Svitlovodsk, Shakhtar Donetsk-2
17, Serhiy Horbunov, UKR, M, 1.75, 69, 14-03-94, Mariupol, Shakhtar Donetsk
19, Ihor Tyshchenko, UKR, D, 1.80, 79, 11-05-89, Vladivostok, Śląsk Wrocław
20, Oleksiy Kashchuk, UKR, M, 1.80, 72, 29-06-00, Novohrad-Volynskyi, Shakhtar Donetsk-2
21, Artem Bondarenko, UKR, M, 1.82, 73, 21-08-00, Cherkasy, Shakhtar Donetsk
23, Yaroslav Dobrokhotov, UKR, M, 1.75, 65, 01-11-00, Stakhanov, FC Mariupol-2
29, Vyacheslav Tankovskyy, UKR, M, 1.68, 64, 16-08-95, Novomoskovsk, Shakhtar Donetsk
31, Oleh Kudryk, UKR, G, 1.85, 71, 17-10-96, Lviv, Shakhtar Donetsk
34, Mykyta Peterman, UKR, M, 1.89, 73, 12-06-99, Berdyansk, FC Mariupol-2
35, Mark Mampasi, UKR, D, 1.84, 76, 12-03-03, Donetsk, Shakhtar Donetsk-2
37, Nazariy Muravskyy, UKR, D, 1.90, 78, 03-02-00, Kashperivka, Shakhtar Donetsk-2
44, Danylo Sahutkin, UKR, D, 1.94, 88, 19-04-96, Sevastopol, Shakhtar Donetsk-2
55, Oleksandr Drambayev, UKR, D, 1.85, 73, 21-04-01, Zaporizhya, Shakhtar Donetsk-2
77, Andriy Kulakov, UKR, F, 1.83, 73, 28-04-99, Verkhnobohdanivka, Shakhtar Donetsk-2
79, Eldar Kuliyev, UKR, M, 1.82, 70, 24-03-02, Kyiv, Shakhtar Donetsk-2
95, Petro Stasyuk, UKR, D, 1.80, 67, 24-02-95, Petrodolynske, FC Mynai
96, Ihor Kiryukhantsev, UKR, D, 1.67, 67, 29-01-96, Makiivka, Shakhtar Donetsk-2
99, Danylo Sikan, UKR, F, 1.85, 74, 16-04-01, Zhytomyr, Shakhtar Donetsk

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
73, Danylo Ihnatenko, UKR, M, 1.89, 80, 13-03-97, Zaporizhya, Shakhtar Donetsk-2
90, Stanislav Biblyk, UKR, F, 1.85, 69, 17-08-01, Yenakiieve, Shakhtar Donetsk-2
33, Artem Pospelov, UKR, G, 1.90, 78, 11-01-98, Berdychiv, Avanhard Kramatorsk (On Loan)
8, Vyacheslav Velyev, UKR, D, 1.79, 68, 21-05-00, Odessa, Hirnyk-Sport Horishni Plavni
