=  FC Lviv - Ukrainian Premier League 2022/2023

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Valeriy Yurchuk, UKR, G, 1.84, 78, 12-04-90, Dnipropetrovsk, Dnipro-1
3, Serhiy Siminin, UKR, D, 1.79, 75, 09-10-87, Prymorsk, Karpaty Lviv
4, Artem Vovkun, UKR, D, 1.91, 76, 07-09-01, Lviv, MFA Mukachevo
6, Akhmed Alibekov, UKR, M, 1.82, 72, 29-05-98, Zaporizhya, Dynamo Kyiv
7, Murilo Souza, BRA, M, 1.82, 91, 17-05-96, Turvo, Budaiya Club
8, Ivijan Svržnjak, CRO, F, 1.80, 70, 02-08-01, Koprivnica, Fužinar Ravne
9, Artur Remenyak, UKR, F, 1.81, 71, 09-08-00, Velykyi Liubin, FC Lviv-2
10, Yaroslav Bohunov, UKR, F, 1.70, 66, 04-09-93, Luhansk, Dinaz Vyshhorod
11, Vladyslav Buhay, UKR, F, 1.86, 83, 27-10-97, Kyiv, Chornomorets Odessa
14, Léo Antônio, BRA, M, 1.85, 80, 09-06-97, Mesquita, Džiugas Telšiai
17, Denys Kuzyk, UKR, D, 1.79, 69, 18-09-02, Bohdanivka, Dynamo Kyiv-2
18, Aderinsola Eseola, UKR, F, 1.88, 80, 28-06-91, Zhytomyr, Hebar Pazardzhik
19, Roman Mykhayliv, UKR, M, 1.65, 59, 31-01-03, Lviv, Dynamo Kyiv-2
21, Oleksandr Byelyayev, UKR, M, 1.74, 60, 04-10-99, Dnipropetrovsk, Gençlerbirliği
22, Andriy Busko, UKR, M, 1.73, 64, 20-05-97, Cherneve, Karpaty Lviv
23, Oleksandr Rybka, UKR, G, 1.93, 92, 10-04-87, Kyiv, Metalist Kharkiv
26, Roman Nykytyuk, UKR, D, 1.91, 83, 09-09-03, Lutsk, Hirnyk-Sport Horishni Plavni
27, Vitaliy Mykhayliv, UKR, F, 1.65, 53, 11-10-05, Lviv, FC Lviv-2
30, Guilherme, BRA, D, 1.92, 87, 12-06-01, -, Gil Vicente
33, Artem Mylchenko, UKR, M, 1.75, 70, 22-07-00, Horishni Plavni, Hirnyk-Sport Horishni Plavni
34, Illia Olkhovyi, UKR, G, 1.99, 90, 30-05-03, Ternopil, FC Lviv-2
45, Maksym Sasovskyi, UKR, D, 1.84, 76, 23-08-01, Lutsk, Volyn Lutsk
54, Oleksiy Dytyatyev, UKR, D, 1.96, 88, 07-11-88, Nova Kakhovka, Aksu
77, Maksym Hryso, UKR, M, 1.64, 60, 14-05-96, Chishki, Cherkashchyna
87, Bohdan Myshenko, UKR, M, 1.77, 74, 29-12-94, Heronymivka, Gomel
95, Oula Traoré, BFA, D, 1.87, 78, 29-09-95, Bobo-Dioulasso, Horoya AC
99, Higor Gabriel, BRA, D, 1.88, 80, 28-04-99, Jaguariúna, Sabah

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
21, Andriy Yakymiv, UKR, M, 1.83, 73, 15-06-97, Chervonohrad, 
31, Oleksandr Ilyushchenkov, UKR, G, 1.86, 81, 23-03-90, Ternopil, Karpaty Lviv
15, Borys Krushynskyi, UKR, D, 1.86, 69, 10-05-02, Sadkovychi, Polissya Zhytomyr
8, Vitaliy Boyko, UKR, M, 1.83, 75, 03-12-97, Voznesenske, LNZ Cherkasy
99, Nazariy Nych, UKR, F, 1.81, 74, 19-02-99, Vidniv, LNZ Cherkasy
73, Oleksandr Vasylyev, UKR, M, 1.86, 74, 27-04-94, Kyiv, Chornomorets Odessa
23, Mykhaylo Shyshka, UKR, M, 1.75, 73, 05-07-94, Dobrotvir, FC Mynai
55, Ivan Ponomarenko, UKR, G, 1.88, 83, 10-05-98, Orikhove, Vorskla Poltava
2, Vasyl Tanchak, UKR, D, 1.75, 65, 13-01-03, Krykhivtsi, Dynamo Kyiv-2
3, Nazariy Muravskyy, UKR, D, 1.90, 78, 03-02-00, Kashperivka, LNZ Cherkasy (On Loan)
28, Pavlo Polehenko, UKR, D, 1.79, 69, 06-01-95, Chernihiv, Zorya Luhansk
7, Bohdan Myshenko, UKR, M, 1.77, 74, 29-12-94, Heronymivka, Re-Registered (87)
30, Serhiy Siminin, UKR, D, 1.79, 75, 09-10-87, Prymorsk, Re-Registered (3)
