=  Dallas Burn - USA Major League Soccer 2001

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Matt Jordan, G, 6'02'', 13 03, 13-10-75, Aurora, Clemson Univ
2, Eric Dade, D, 6'01", 13 08, 19-01-70, Buffalo, Dallas Sidekicks
3, Ryan Suarez, D, 6'02'', 13 03, 28-07-77, Sacramento, San Jose State Univ
4, Paul Broome, M, 5'09'', 10 10, 06-06-76, Dallas, Sth Methodist Univ
5, Lubos Kubik, D, 6'03", 13 13, 20-01-64, Vysoké Mýto, Chicago Fire
7, Eddie Johnson, F, 6'00'', 12 12, 31-03-84, Daytona Beach, US U-17s
8, Oscar Pareja, M, 5'08'', 10 10, 10-08-68, Medellin, New England Revolution
9, Jason Kreis, F, 5'10'', 11 01, 29-12-72, Omaha, Raleigh Flyers
10, Joselito Vaca, M, 5'06'', 08 13, 12-08-82, Santa Cruz, Oriente Petrolero
11, Antonio Martinez, M, 5'07'', 10 00, 09-07-77, Carson, Cal State Fullerton
12, Miles Joseph, M, 5'09", 11 11, 02-05-74, Clifton Park, Columbus Crew
13, Miguel Saavedra, M, 5'11'', 11 01, 03-07-83, Milwaukee, Milwaukee T&T HS
15, Chad Deering, M, 6'02'', 12 07, 02-09-70, Plano, Wolfsburg
16, Aleksey Korol, F, 5'10", 11 06, 14-10-77, Rochester, Indiana Univ
17, Jorge Rodriguez, D, 5'09'', 11 01, 20-05-71, La Union, FAS
18, Richard Farrer, M, 6'00", 12 07, 09-04-71, Johannesburg, AmaZulu
19, Bobby Rhine, F, 5'10'', 12 03, 18-04-76, St Louis, UConn
20, Ariel Graziani, F, 6'00", 11 11, 07-06-71, Empalme, New England Revolution
21, Hamisi Amani-Dove, F, 5'11", 12 02, 28-03-74, Columbia, Hapoel Tsafririm Holon
22, Chris Snitko, G, 6'03", 13 13, 24-01-73, Anaheim, Chicago Fire
24, Justin Evans, M, 6'01", 12 02, 31-01-77, Venetia, Chicago Fire
25, Josue Mayard, D, 5'10", 12 02, 10-03-80, Montreal, Montreal Impact

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
14, Ted Eck, M, 6'01", 13 08, 14-07-66, Springfield, 
