=  Chicago Fire - USA Major League Soccer 2005

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, David Mahoney, G, 6'02", 14 04, 14-04-81, Wellesley, Cornell Univ
2, CJ Brown, D, 6'00'', 13 03, 15-06-75, Hayward, San Francisco Bay Seals
3, Samuel Caballero, D, 6'01", 12 02, 24-12-74, Tegucigalpa, Nacional [URU]
4, Leonard Griffin, D, 6'01", 13 03, 11-09-82, Pasadena, UCLA
5, Jim Curtin, D, 6'04'', 14 09, 23-06-79, Oreland, Villanova
6, Demetrius White, M, 5'09", 12 07, 26-07-85, Milwaukee, None
7, John Thorrington, M, 5'07", 10 05, 17-10-79, Johannesburg, Grimsby T
8, Lubos Reiter, F, 5'11", 11 09, 03-12-74, Stopkov, Sigma Olomouc
9, Chad Barrett, F, 5'11", 12 12, 30-04-85, Beaverton, UCLA
11, Nate Jaqua, F, 6'03'', 12 12, 28-10-81, Eugene, Univ of Portland
12, Logan Pause, D, 5'10'', 11 01, 22-08-81, Raleigh, Univ of North Carolina
13, Jack Stewart, D, 6'02", 12 12, 29-05-83, Torrance, Univ of Notre Dame
14, Chris Armas, M, 5'07'', 10 10, 27-07-72, Bronx, LA Galaxy
15, Jesse Marsch, M, 5'11'', 12 02, 08-11-73, Racine, DC United
16, Will John, M, 5'09", 10 05, 13-06-85, Overland Park, St Louis Univ
17, Chris Rolfe, F, 5'08", 10 05, 17-01-83, Kettering, OH, Univ of Dayton
18, Matthew Pickens, G, 6'03", 14 04, 05-04-82, Washington, SW Missouri State Univ
19, Craig Capano, M, 5'07'', 10 00, 07-07-85, Hyde Park, US U-17s
20, Anthony Sanneh, D, 6'02'', 13 08, 01-06-71, Minnesota, Columbus Crew
21, Justin Mapp, M, 5'10'', 10 00, 18-10-84, Brandon, DC United
22, Scott Buete, M, 5'08", 11 06, 23-07-80, Phoenix, Univ of Maryland
23, Iván Guerrero, D, 5'07", 11 01, 30-11-77, Comayagua, Peñarol
24, Zach Thornton, G, 6'03'', 15 00, 10-10-73, Edgewood, Benfica
25, Gonzalo Segares, D, 5'11", 11 08, 13-10-82, San Jose, Virginia C'wealth Univ
27, Andy Herron, F, 5'09", 11 01, 02-03-78, Puerto Limon, CS Herediano
28, Jared Montz, D, 5'10", 11 08, 26-12-82, Mandeville, Lynn Univ
29, Thiago de Rosa Correa, M, 5'07", 10 07, 07-04-82, Porto Alegre, Pinhalense
30, Will Johnson, F, 5'10", 11 06, 21-01-87, Woodridge, St Louis Univ
34, Andy Rosenband, M, 5'07", 11 06, 27-04-81, Hammond, Chicago Storm

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
33, Hollis Donaldson, D, 6'01", 11 06, 01-09-83, Jacksonville, 
6, Kelly Gray, M, 6'02'', 12 02, 07-04-81, Palo Alto, San Jose Earthquakes
