=  Colorado Rapids - USA Major League Soccer 2009

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
2, Jordan Harvey, USA, D, 1.80, 77, 28-01-84, Mission Viejo, UCLA
3, Drew Moor, USA, D, 1.83, 77, 15-01-84, Dallas, FC Dallas
5, Ty Harden, USA, D, 1.85, 86, 06-03-84, Junction City, LA Galaxy
6, Greg Dalby, USA, M, 1.85, 79, 03-11-85, Newport Beach, Charleroi
7, Cory Gibbs, USA, D, 1.88, 81, 14-01-80, Plantation, Charlton Ath
8, Mehdi Ballouchy, MAR, M, 1.80, 77, 06-04-83, Casablanca, Real Salt Lake
9, Conor Casey, USA, F, 1.88, 85, 25-07-81, New Hampshire, Toronto FC
10, Facundo Diz, ARG, F, 1.88, 86, 16-04-79, Navarro, Platense
12, Pat Noonan, USA, F, 1.83, 79, 02-08-80, Ballwin, Columbus Crew
13, Ross Schunk, USA, F, 1.88, 86, 28-04-86, Portland, Univ of Redlands
14, Omar Cummings, JAM, F, 1.78, 75, 13-07-82, Old Harbour, Univ of Cincinnati
15, Jacob Peterson, USA, F, 1.78, 73, 27-01-86, Portage, Indiana Univ
17, Preston Burpo, USA, G, 1.91, 98, 09-11-72, Austin, San Jose Earthquakes
18, Matt Pickens, USA, G, 1.91, 91, 05-04-82, Washington, MO, QPR
20, Jamie Smith, SCO, M, 1.70, 74, 20-11-80, Alexandria, Aberdeen
21, Julien Baudet, FRA, D, 1.88, 86, 13-01-79, St Martin, Crewe Alex
22, Nick LaBrocca, USA, M, 1.78, 75, 04-12-84, Staten Island, Rutgers Univ
23, Colin Clark, USA, M, 1.80, 73, 11-04-84, Fort Collins, Boulder Rapids
25, Pablo Mastroeni, USA, D, 1.79, 77, 29-08-76, Mendoza, Miami Fusion
26, Michael Holody, USA, D, 1.90, 90, 30-03-87, Clarkston, Univ of Michigan
27, Kosuke Kimura, JPN, M, 1.55, 69, 14-05-84, Kobe, Western Illinois Univ
29, Scott Palguta, USA, D, 1.88, 88, 23-08-82, Toms River, Rochester Rhinos
35, Rob Valentino, USA, D, 1.90, 86, 21-12-85, Hoffman Estates, New England Revolution

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
28, John DiRaimondo, USA, M, 1.70, 70, 23-04-86, St Louis, DC United
21, Nico Colaluca, USA, M, 1.75, 68, 23-05-86, Providence, New England Revolution
12, Iván Guerrero, HON, D, 1.70, 64, 30-11-77, Comayagua, Motagua
16, Gregory Richardson, GUY, F, 1.75, 70, 16-06-82, Georgetown, Carolina RailHawks
31, Steward Ceus, HAI, G, 1.98, 93, 26-03-87, West Haverstraw, Charlotte Eagles (On Loan)
19, Ciaran O'Brien, USA, M, 1.75, 68, 17-11-87, Tacoma, Montreal Impact (On Loan)
11, Terry Cooke, ENG, M, 1.70, 61, 05-08-76, Marston Green, 
4, Ugo Ihemelu, USA, D, 1.83, 81, 03-04-83, Cedar Hill, FC Dallas
