=  Vancouver Whitecaps - USA Major League Soccer 2012

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Joe Cannon, USA, G, 1.88, 86, 01-01-75, Sun Valley, San Jose Earthquakes
3, Jordan Harvey, USA, D, 1.80, 77, 28-01-84, Mission Viejo, Philadelphia Union
4, Alain Rochat, SUI, D, 1.82, 78, 01-02-83, St Jean sur Richelieu, Zürich
6, Jay DeMerit, USA, D, 1.80, 82, 04-12-79, Green Bay, Watford
7, Kenny Miller, SCO, F, 1.78, 68, 23-12-79, Edinburgh, Cardiff C
8, Etienne Barbara, MLT, F, 1.83, 87, 10-06-82, Pietà, Carolina RailHawks
9, Atiba Harris, SKN, F, 1.91, 84, 09-01-85, St Peter's, FC Dallas
11, John Thorrington, USA, M, 1.73, 66, 17-10-79, Johannesburg, Chicago Fire
12, Lee Young-Pyo, KOR, D, 1.76, 66, 23-04-77, Hongcheon, Al-Hilal
13, Michael Nanchoff, USA, M, 1.73, 68, 24-09-88, North Royalton, Univ of Akron
14, Barry Robson, SCO, M, 1.80, 70, 07-11-78, Aberdeen, Middlesbrough
15, Martín Bonjour, ARG, D, 1.87, 82, 09-04-85, Carhué, Rampla Juniors
16, Matt Watson, ENG, M, 1.83, 82, 01-01-85, Bromsgrove, Carolina RailHawks
17, Omar Salgado, USA, F, 1.93, 79, 10-09-93, El Paso, Guadalajara
18, Brad Knighton, USA, G, 1.86, 85, 06-02-85, Hickory, Carolina RailHawks
19, Carlyle Mitchell, TRI, D, 1.85, 75, 08-08-87, Arima, Joe Public
20, Dane Richards, JAM, M, 1.70, 71, 14-12-83, Montego Bay, New York Red Bulls
22, Darren Mattocks, JAM, F, 1.78, 71, 02-09-90, Portmore, Univ of Akron
23, Tiago Ulisses, BRA, M, 1.75, 71, 09-05-89, São Paulo, Botafogo-SP
24, Brian Sylvestre, USA, G, 1.96, 91, 19-12-92, Hollywood, FL, Whitecaps (USL)
27, Jun Marques Davidson, JPN, M, 1.86, 75, 07-06-83, Tokyo, Tokushima Vortis
28, Gershon Koffie, GHA, M, 1.80, 70, 25-08-91, Koforidua, Whitecaps (USL)
31, Russell Teibert, CAN, M, 1.70, 66, 22-12-92, Niagara Falls, Whitecaps (USL)
32, Greg Klazura, USA, D, 1.80, 75, 27-01-89, Leominster, MA, Univ of Notre Dame
34, Caleb Clarke, CAN, F, 1.85, 84, 23-06-93, Richmond, None
36, Bryce Alderson, CAN, M, 1.78, 73, 05-02-94, Kitchener, None
37, Camilo, BRA, F, 1.70, 70, 21-07-88, Presidente Prudente, Gyeongnam
40, Andy O'Brien, IRL, D, 1.91, 74, 29-06-79, Harrogate, Leeds U

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
23, Tan Long, CHN, F, 1.85, 77, 01-04-88, Dalian, DC United
26, Floyd Franks, USA, M, 1.80, 80, 05-04-84, Hattiesburg, Carolina RailHawks
2, Michael Boxall, NZL, D, 1.88, 91, 18-08-88, Auckland, Wellington Phoenix
20, Davide Chiumiento, SUI, M, 1.73, 67, 22-11-84, Heiden, Zürich
7, Sébastien Le Toux, FRA, F, 1.85, 75, 10-01-84, Mont-Saint-Aignan, New York Red Bulls
29, Eric Hassli, FRA, F, 1.93, 91, 03-05-81, Sarreguemines, Toronto FC
