=  Los Angeles Galaxy - USA Major League Soccer 2015

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Donovan Ricketts, JAM, G, 1.91, 92, 07-06-77, Montego Bay, Orlando C
2, Todd Dunivant, CAN, D, 1.83, 79, 26-12-80, Wheat Ridge, Toronto FC
3, Mika Väyrynen, FIN, M, 1.80, 77, 28-12-81, Eskilstuna, HJK Helsinki
4, Omar Gonzalez, USA, D, 1.96, 95, 11-10-88, Dallas, Univ of Maryland
5, José Villarreal, USA, M, 1.73, 73, 10-09-93, Inglewood, None
6, Baggio Hušidić, BIH, M, 1.85, 78, 19-05-87, Velika Kladuša, Hammarby IF
7, Robbie Keane, IRL, F, 1.76, 72, 08-07-80, Tallaght, Tottenham H
8, Steven Gerrard, ENG, M, 1.83, 79, 30-05-80, Whiston, Liverpool
9, Alan Gordon, USA, F, 1.91, 83, 16-10-81, Long Beach, San Jose Earthquakes
10, Giovani dos Santos, MEX, F, 1.73, 77, 11-05-89, Monterrey, Villarreal
11, Gyasi Zerdes, USA, F, 1.88, 80, 02-09-91, Hawthorne, CSU Bakersfield
12, Brian Rowe, USA, G, 1.85, 84, 16-11-88, Chicago, Portland Timbers
14, Robbie Rogers, USA, F, 1.78, 82, 12-05-87, Palos Verdes, Leeds U
15, Nacho Maganto, ESP, M, 1.73, 64, 02-01-92, Madrid, Iona College
16, Edson Buddle, USA, F, 1.85, 77, 21-05-81, New Rochelle, Colorado Rapids
17, Sebastian Lletget, USA, M, 1.78, 69, 03-09-92, San Francisco, West Ham U
19, Juninho, BRA, M, 1.69, 64, 05-01-89, São José dos Campos, São Paulo
20, A. J. DeLaGarza, USA, D, 1.73, 64, 04-11-87, Bryans Road, Univ of Maryland
21, Tommy Meyer, USA, D, 1.88, 80, 20-03-90, St Louis, Indiana Univ
22, Leonardo, BRA, D, 1.87, 81, 08-02-88, São Paulo, São Paulo
24, Brian Perk, USA, G, 1.80, 79, 21-07-89, Rancho Santa Margarita, Philadelphia Union
25, Rafael García, USA, M, 1.68, 68, 19-12-88, Canoga Park, Cal State Northridge
27, Dave Romney, USA, D, 1.88, 79, 12-06-93, Irvine, San Francisco C
31, Andrew Wolverton, USA, G, 1.98, 101, 29-01-90, Atlanta, Penn State Univ
32, Jack McBean, USA, M, 1.83, 79, 15-12-94, Newport Beach, None
33, Dan Gargan, USA, M, 1.80, 79, 14-12-82, Philadelphia, San Jose Earthquakes
34, Kenney Walker, USA, M, 1.75, 80, 12-12-88, Wickliffe, Univ of Louisville
36, Oscar Sorto, USA, D, 1.73, 71, 08-08-94, Los Angeles, None
38, Bradford Jamieson IV, USA, F, 1.85, 75, 18-10-96, Los Angeles, None
40, Raúl Mendiola, MEX, F, 1.73, 68, 18-05-94, Ciudad Juárez, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
27, Charlie Rugg, USA, F, 1.83, 80, 02-10-90, Roslindale, Indy Eleven (On Loan)
31, Trey Mitchell, USA, G, 1.88, 88, 27-04-91, Alta Loma, 
24, Stefan Ishizaki, SWE, M, 1.80, 76, 15-05-82, Stockholm, AIK
18, Jaime Penedo, PAN, G, 1.83, 71, 24-09-81, Ciudad de Panamá, 
