=  Minnesota United - USA Major League Soccer 2021

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Tyler Miller, USA, G, 1.93, 89, 12-03-93, Woodbury, Los Angeles FC
5, Jacori Hayes, USA, M, 1.70, 68, 28-06-95, Andrews Field, FC Dallas
6, Osvaldo Alonso, CUB, M, 1.80, 75, 11-11-85, San Cristóbal, Seattle Sounders
7, Franco Fragapane, ARG, M, 1.67, 66, 06-02-93, Godoy Cruz, Talleres (Córdoba)
8, Ján Greguš, SVK, M, 1.89, 70, 29-01-91, Nitra, FC København
9, Fanendo Adi, NGA, F, 1.92, 90, 10-10-90, Lagos, Columbus Crew
10, Emanuel Reynoso, ARG, M, 1.77, 65, 16-11-95, Córdoba, Boca Juniors
11, Niko Hansen, DEN, M, 1.78, 77, 14-09-94, Randers, Houston Dynamo
12, Bakaye Dibassy, FRA, D, 1.83, 74, 11-08-89, Paris, Amiens
13, Ethan Finlay, USA, M, 1.75, 75, 06-08-90, Marshfield, Columbus Crew
14, Brent Kallman, USA, D, 1.88, 87, 04-10-90, Omaha, Minnesota U (NASL)
15, Michael Boxall, NZL, D, 1.88, 91, 18-08-88, Auckland, SuperSport U
17, Robin Lod, FIN, M, 1.80, 76, 17-04-93, Helsinki, Sporting Gijón
18, Joseph Rosales, HON, M, 1.80, 74, 06-11-00, Tegucigalpa, Independiente de La Chorrera
19, Romain Métanire, MAD, D, 1.78, 72, 28-03-90, Metz, Reims
20, Will Trapp, USA, M, 1.73, 68, 15-01-93, Gahanna, Inter Miami
21, Juan Agudelo, USA, F, 1.85, 79, 23-11-92, Manizales, Inter Miami
22, Jukka Raitala, FIN, D, 1.80, 77, 15-09-88, Kerava, Montreal Impact
23, Adrien Hunou, FRA, M, 1.78, 66, 19-01-94, Evry, Rennes
24, Justin McMaster, USA, M, 1.75, 75, 30-06-99, Kingston, Wake Forest Univ
26, D.J. Taylor, USA, D, 1.75, 75, 26-08-97, Raleigh, North Carolina FC
30, Adrián Zendejas, USA, G, 1.96, 84, 30-08-95, Chula Vista, Nashville SC
31, Hassani Dotson, USA, M, 1.80, 77, 06-08-97, Federal Way, Oregon State Univ
36, Nabi Kibunguchy, USA, D, 1.91, 80, 05-01-98, Elk Grove, UC Davis
77, Chase Gasper, USA, D, 1.83, 84, 25-01-96, Alexandria, Univ of Maryland
97, Dayne St. Clair, CAN, G, 1.91, 75, 09-05-97, Pickering, Univ of Maryland
99, Fred Emmings, LUX, G, 1.96, 96, 08-02-04, Saint Paul, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
2, Noah Billingsley, NZL, D, 1.88, 84, 06-08-97, Wellington, Phoenix Rising (On Loan)
4, Callum Montgomery, USA, D, 1.85, 84, 14-05-97, Nanaimo, San Diego Loyal (On Loan)
27, Foster Langsdorf, USA, F, 1.79, 75, 14-12-95, Portland, Retired
3, Ike Opara, USA, D, 1.88, 82, 21-02-89, Durham, NC, 
9, Ramón Ábila, ARG, F, 1.78, 65, 14-10-89, Córdoba, Boca Juniors
25, Aziel Jackson, USA, M, 1.75, 68, 25-10-01, New York, North Carolina FC (On Loan)
29, Patrick Weah, USA, F, 1.85, 82, 05-12-03, Monrovia, Sacramento Republic (On Loan)
