=  Grasshoppers - Swiss Super League 2009/10

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Yann Sommer, SUI, G, 1.83, 77, 17-12-88, Morges, Basel
2, Kay Voser, SUI, D, 1.73, 69, 04-01-87, Fislisbach, None
3, Paulo Menezes, BRA, D, 1.72, 63, 14-07-82, , Aarau
4, Guillermo Vallori, ESP, D, 1.91, 84, 24-06-82, Palma de Mallorca, Santa Eulalia
5, Josip Colina, SUI, D, 1.89, 90, 08-11-80, , Concordia Basel
6, Boris Smiljanić, SUI, D, 1.90, 91, 28-09-76, Zürich, Basel
7, Alain Schultz, SUI, M, 1.78, 75, 17-02-83, , Wohlen
8, Senad Lulić, BIH, M, 1.83, 76, 18-01-86, Jablanica, Bellinzona
9, Gonzalo Zárate, ARG, F, 1.82, 71, 06-08-84, Rosario, Kriens
10, Davide Callà, SUI, M, 1.74, 75, 06-10-84, Winterthur, St. Gallen
11, Vincenzo Rennella, ITA, F, 1.88, 78, 08-10-88, Saint Paul, Genoa
13, Nassim Ben Khalifa, SUI, F, 1.80, 69, 13-01-92, Prangins, None
14, Izet Hajrović, SUI, M, 1.77, 71, 04-08-91, Brugg, None
15, Ricardo Cabanas, SUI, M, 1.73, 70, 17-01-79, Zürich, Köln
16, Rogerio, BRA, F, 1.82, 73, 12-06-80, , Aarau
17, Enzo Ruiz, URU, D, 1.81, 80, 31-08-88, Soriano, Peñarol
18, Lorenzo Bucchi, ITA, G, 1.86, 80, 21-11-83, Rome, Bellinzona
19, Vullnet Basha, SUI, M, 1.74, 65, 11-07-90, Lausanne, Lausanne-Sport
20, Zlatko Hebib, SUI, D, 1.85, 74, 28-12-90, Dubrovnik, None
21, Samel Šabanović, MNE, F, 1.82, 77, 23-12-83, , Wil
22, Theodoros Karapetsas, GRE, M, 1.83, 73, 25-07-90, , None
23, Jeff Strasser, LUX, D, 1.90, 80, 05-10-74, Luxembourg, Fola Esch
24, Martin Steuble, SUI, F, 1.70, 70, 09-06-88, Schlieren, Neuchâtel Xamax
25, Endogan Adili, SUI, F, 1.65, 54, 03-08-94, Brugg, None
26, Patrick Foletti, SUI, G, 1.87, 92, 27-05-74, Sorengo, Kriens
27, Bruce Lalombongo, SUI, M, 1.81, 72, 29-04-90, , Lausanne
28, Nzuzi Toko, COD, M, 1.71, 66, 20-12-90, Kinshasa, None
29, Rolf Feltscher, SUI, D, 1.81, 74, 06-10-90, Bülach, None
30, Guilherme Afonso, SUI, F, 1.87, 78, 15-11-85, Luanda, Sion
31, Steven Zuber, SUI, M, 1.77, 68, 17-08-91, Winterthur, None
32, Gianluca D'Angelo, ITA, D, 1.75, 63, 13-03-91, , None
33, Raphael Spiegel, SUI, G, 1.96, 88, 19-12-92, Rüttenen, None
34, Charyl Chappuis, SUI, D, 1.76, 71, 12-01-92, , None
35, Veroljub Salatić, SUI, M, 1.85, 85, 14-11-85, Zvornik, Zug 94

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
24, Fabio Daprelà, SUI, D, 1.80, 65, 19-02-91, Ticino, West Ham U
30, António Dos Santos, BRA, M, 1.87, 70, 03-10-79, Guaíra, Sion (On Loan)
21, Haris Seferovic, SUI, F, 1.85, 83, 22-02-92, Sursee, Fiorentina
