=  SpVgg Greuther Fürth - German 2.Bundesliga 2010/11

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Matjaž Rozman, SVN, G, 1.92, 76, 03-01-87, Ptuj, Interblock
3, Asen Karaslavov, BUL, D, 1.86, 84, 06-08-80, Asenovgrad, Slavia Sofia
5, Mergim Mavraj, GER, D, 1.89, 81, 09-06-86, Kosovo, Bochum
6, Kim Falkenberg, GER, D, 1.80, 65, 10-04-88, Engelskirchen, RW Oberhausen
7, Bernd Nehrig, GER, D, 1.80, 79, 28-09-86, Heidenheim an der Brenz, Stuttgart
8, Stephan Fürstner, GER, M, 1.78, 71, 11-09-87, Munich, Bayern Munich
9, Christopher Nöthe, GER, F, 1.84, 76, 03-01-88, Castrop-Rauxel, Borussia Dortmund
10, Miroslav Slepička, CZE, F, 1.81, 80, 10-11-81, Příbram, Dinamo Zagreb
11, Burak Kaplan, TUR, M, 1.68, 64, 01-02-90, Kalk, Bayer Leverkusen
13, Milorad Peković, SRB, M, 1.89, 85, 05-08-77, Nikšić, Mainz
14, Edgar Prib, GER, M, 1.81, 74, 15-12-89, Neryungri, None
15, Christian Rahn, GER, M, 1.85, 83, 15-06-79, Hamburg, Hansa Rostock
16, Jasmin Fejzić, BIH, G, 1.97, 96, 15-06-86, Tupkovići, Stuttgarter Kickers
17, Stephan Schröck, GER, M, 1.70, 68, 21-08-86, Schweinfurt, None
18, Leonhard Haas, GER, M, 1.81, 74, 09-01-82, Rosenheim, Augsburg
19, Thomas Kleine, GER, D, 1.91, 82, 28-12-77, Wermelskirchen, B Mönchengladbach
20, Kingsley Onuegbu, NGA, F, 1.91, 94, 05-03-86, Kaduna, Eintracht Braunschweig
21, Marius Strangl, GER, M, 1.76, 69, 02-10-90, Erlangen, None
22, Alexander Walke, GER, G, 1.87, 75, 06-06-83, Eberswalde, Red Bull Salzburg
23, Sercan Sararer, ESP, F, 1.80, 80, 27-11-89, Nuremberg, None
26, Max Grün, GER, G, 1.91, 85, 05-04-87, Karlstadt am Main, Bayern Munich II
27, Nicolai Müller, GER, F, 1.75, 65, 25-09-87, Lohr am Main, None
28, Stefan Vogler, GER, F, 1.85, 80, 13-08-90, Sigmaringen, Bahlinger SC
29, Stefan Kolb, GER, F, 1.83, 72, 22-01-91, Bayreuth, Carl Zeiss Jena
30, Johannes Geis, GER, D, 1.77, 73, 07-08-93, Schweinfurt, Großbardorf
33, Danijel Aleksić, SRB, F, 1.82, 72, 30-04-91, Pula, Genoa
34, Tayfun Pektürk, GER, F, 1.77, 74, 13-05-88, Wermelskirchen, Eintracht Trier
35, Philipp Langen, GER, M, 1.83, 73, 02-07-86, Lahnstein, Koblenz
36, Felix Klaus, GER, F, 1.79, 72, 13-09-92, Osnabrück, Lichtenfels

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
10, Kevin Kampl, SVN, M, 1.80, 63, 09-10-90, Solingen, Bayer Leverkusen
5, Jan Mauersberger, GER, D, 1.94, 83, 17-06-85, Munich, Osnabrück
11, Dani Schahin, GER, F, 1.87, 82, 09-07-89, Donetsk, Dynamo Dresden (On Loan)
4, Marino Biliskov, CRO, D, 1.95, 89, 17-03-76, Split, Ingolstadt
